"","Truth","Predicted","PredictedClass"
"994519_d21",1,0.976132653267115,1
"994526",1,0.932237866280969,1
"994527",1,0.987335133431635,1
"994529",1,0.642755878209694,1
"994532",1,0.437500535472073,0
"994534 d7",1,0.955359320728109,1
"994536",1,0.691180728770452,1
"994536 d7",1,0.846968911530189,1
"994540",1,0.993717641134439,1
"994544 d7",1,0.796508713870989,1
"994545 d7",1,0.99840621693757,1
"994547",1,0.827605649585382,1
"994548",1,0.943749307105319,1
"994549_d7",1,0.536137092004495,1
"994552",1,0.999521239921794,1
"994559",1,0.991350746397113,1
"994563_d7",1,0.984720821118034,1
"994566",1,0.972140419972246,1
"994567",1,0.998857641881763,1
"994567_d7",1,0.979768612966603,1
"994569",1,0.980645988570214,1
"994572_d7",1,0.86984231887703,1
"994580_d0",1,0.99121268819382,1
"994584_d0",1,0.874935286066379,1
"994585_d7",1,0.698036434906735,1
"994590_d0",1,0.986156537303057,1
"994596_d0",1,0.999770944480965,1
"994597_d0",1,0.999518134472245,1
"994599_d0",1,0.999616788421008,1
"994609_d0",1,0.998018969441208,1
"994609_d7",1,0.997037503729283,1
"994610_d7",1,0.939385090486879,1
"994611_d0",1,0.980949875742713,1
"994614_d0",1,0.0658119488739568,0
"994619_d0",1,0.996579981348721,1
"994620_d0",1,0.651802837734395,1
"994624_d0",1,0.919550493692773,1
"994625_d7",1,0.6826843206936,1
"994626_d7",1,0.881106117239723,1
"994628_d7",1,0.858122868481247,1
"994629_d0",1,0.948514756299384,1
"994630_d0",1,0.182958078654631,0
"994631_d0",1,0.999182265379381,1
"994637_d0",1,0.995664696347436,1
"994638_d0",1,0.914105932180639,1
"994639_d0",1,0.62678722874247,1
"994645_d7",1,0.502784349014741,1
"ERD2020_007",0,0.0157137821654738,0
"ERD2020_013",0,0.234933677901637,0
"ERD2020_020",0,5.54157612281672e-22,0
"HD2020_013",0,0.0321889947832477,0
"HD2020_016",0,0.561215238309512,1
"HD2020_018",0,0.0987293535600555,0
"HD2020_021",0,0.0262067509859882,0
"HD2020_027",0,0.0138517399650271,0
"HD2020_034",0,0.337484140263389,0
"HD2020_037",0,0.0365090394406068,0
"HD2020_041",0,0.00663790718046307,0
"SCD2020_003",0,0.122423404809514,0
"SRD2020_023",0,0.0337018000604027,0
"SRD2020_025",0,0.120490653110794,0
"SRD2020_033",0,0.213404708130053,0
