"","Truth","Predicted","PredictedClass"
"Epithelial_H_BB239L_clustered.fcs",0,0.462543863858129,0
"Epithelial_H_BB242L_clustered.fcs",0,0.16170309891311,0
"Epithelial_N_BB013_clustered.fcs",0,0.437931028441841,0
"Epithelial_N_BB034_clustered.fcs",0,0.343418727437761,0
"Epithelial_N_BB035_clustered.fcs",0,0.8603129471913,1
"Epithelial_N_BB053_clustered.fcs",0,0.829376317204286,1
"Epithelial_N_BB055_clustered.fcs",0,0.176795413281141,0
"Epithelial_N_BB072_clustered.fcs",0,0.39105769758597,0
"Epithelial_N_BB073_clustered.fcs",0,0.195554092481298,0
"Epithelial_N_BB093_clustered.fcs",0,0.722783638495767,1
"Epithelial_N_BB096_clustered.fcs",0,0.456312750671696,0
"Epithelial_N_BB103_clustered.fcs",0,0.825390666650432,1
"Epithelial_N_BB147_clustered.fcs",0,0.320302628493301,0
"Epithelial_N_BB154_clustered.fcs",0,0.360781359706456,0
"Epithelial_N_BB189_clustered.fcs",0,0.478319684393424,0
"Epithelial_N_BB194_clustered.fcs",0,0.317889459519695,0
"Epithelial_N_BB201_clustered.fcs",0,0.308692420591557,0
"Epithelial_N_BB210_clustered.fcs",0,0.582038841329499,1
"Epithelial_N_BB227_clustered.fcs",0,0.331126161680772,0
"Epithelial_T_BB007_clustered.fcs",1,0.89673835441283,1
"Epithelial_T_BB022_clustered.fcs",1,0.719592402276208,1
"Epithelial_T_BB030a_clustered.fcs",1,0.510099361452829,1
"Epithelial_T_BB035_clustered.fcs",1,0.946427741642824,1
"Epithelial_T_BB066_clustered.fcs",1,0.890914849882636,1
"Epithelial_T_BB067_clustered.fcs",1,0.814676297083595,1
"Epithelial_T_BB073a_clustered.fcs",1,0.935022701070477,1
"Epithelial_T_BB073b_clustered.fcs",1,0.986176019125443,1
"Epithelial_T_BB075_clustered.fcs",1,0.990645060589099,1
"Epithelial_T_BB078_clustered.fcs",1,0.965469151214945,1
"Epithelial_T_BB088_clustered.fcs",1,0.805491089352101,1
"Epithelial_T_BB091_clustered.fcs",1,0.974414863857918,1
"Epithelial_T_BB093_clustered.fcs",1,0.887171850211879,1
"Epithelial_T_BB096_clustered.fcs",1,0.897964213410894,1
"Epithelial_T_BB111_clustered.fcs",1,0.891374992549825,1
"Epithelial_T_BB112b_clustered.fcs",1,0.459176337686826,0
"Epithelial_T_BB113b_clustered.fcs",1,0.95056807451571,1
"Epithelial_T_BB131_clustered.fcs",1,0.770655869027164,1
"Epithelial_T_BB140_clustered.fcs",1,0.953827710102768,1
"Epithelial_T_BB145_clustered.fcs",1,0.765726092667768,1
"Epithelial_T_BB146_clustered.fcs",1,0.945502548996097,1
"Epithelial_T_BB152_clustered.fcs",1,0.98764016448325,1
"Epithelial_T_BB159_clustered.fcs",1,0.956922996255086,1
"Epithelial_T_BB160_clustered.fcs",1,0.908171475176635,1
"Epithelial_T_BB167_clustered.fcs",1,0.894732403331786,1
"Epithelial_T_BB170_clustered.fcs",1,0.806584078860604,1
"Epithelial_T_BB177_clustered.fcs",1,0.71938943439342,1
"Epithelial_T_BB184_clustered.fcs",1,0.967588660134796,1
"Epithelial_T_BB185_clustered.fcs",1,0.968280926692435,1
"Epithelial_T_BB187_clustered.fcs",1,0.888375711624008,1
"Epithelial_T_BB188_clustered.fcs",1,0.87158376778305,1
"Epithelial_T_BB190_clustered.fcs",1,0.911395525061153,1
"Epithelial_T_BB193_clustered.fcs",1,0.455417524442488,0
"Epithelial_T_BB199_clustered.fcs",1,0.552487020208063,1
"Epithelial_T_BB202_clustered.fcs",1,0.929348259134194,1
"Epithelial_T_BB209_clustered.fcs",1,0.930107145238627,1
"Epithelial_T_BB210_clustered.fcs",1,0.775703501073661,1
"Epithelial_T_BB211_clustered.fcs",1,0.963247907263547,1
"Epithelial_T_BB216_clustered.fcs",1,0.735827603186741,1
"Epithelial_T_BB219_clustered.fcs",1,0.790234624648616,1
"Epithelial_T_BB230_clustered.fcs",1,0.531544696446196,1
"Epithelial_T_BB232a_clustered.fcs",1,0.846629560263864,1
"Epithelial_T_BB232b_clustered.fcs",1,0.673874406068536,1
"Epithelial_T_BB233a_clustered.fcs",1,0.915524673275511,1
"Epithelial_T_BB237_clustered.fcs",1,0.457862594761417,0
