,truth,pred
0,0.0,0.31104472
1,0.0,0.6522757
2,0.0,0.5833514
3,0.0,0.2768317
4,1.0,0.84327406
5,1.0,0.57360315
6,0.0,0.27053404
7,1.0,0.9752822
8,0.0,0.8847687
9,0.0,0.53518987
10,0.0,0.3967299
11,0.0,0.55891204
12,1.0,0.91470754
13,1.0,0.91464716
14,1.0,0.4731458
15,0.0,0.38494843
16,0.0,0.6264304
17,0.0,0.638154
18,0.0,0.7171864
19,1.0,0.79210436
20,0.0,0.32952693
21,0.0,0.4782822
22,0.0,0.59923065
23,1.0,0.87101096
24,0.0,0.76985836
25,0.0,0.24876177
26,0.0,0.5803506
27,0.0,0.45544294
28,1.0,0.748762
29,0.0,0.77661055
30,0.0,0.13864574
31,0.0,0.19426431
32,0.0,0.30159342
33,0.0,0.16622424
34,0.0,0.55928
35,0.0,0.23832372
36,1.0,0.58204
37,0.0,0.32308784
38,0.0,0.23759353
39,0.0,0.6240045
40,1.0,0.6292937
41,1.0,0.70058393
42,0.0,0.6870605
43,0.0,0.69740963
44,0.0,0.5748296
45,0.0,0.7189539
46,1.0,0.96990424
47,1.0,0.48910663
48,0.0,0.54903877
49,0.0,0.76134175
50,1.0,0.8721428
51,1.0,0.9822932
52,0.0,0.30566227
53,0.0,0.7462586
54,1.0,0.37106702
55,0.0,0.8792651
56,0.0,0.6596476
57,0.0,0.2753484
58,0.0,0.59920293
59,1.0,0.8119422
