,truth,pred
0,0.0,0.65754277
1,0.0,0.64866734
2,0.0,0.44923
3,0.0,0.49941808
4,1.0,0.64588666
5,1.0,0.72496647
6,0.0,0.61204356
7,1.0,0.84348696
8,0.0,0.55370086
9,0.0,0.48088533
10,0.0,0.35334665
11,0.0,0.48869282
12,1.0,0.74267924
13,1.0,0.66980344
14,1.0,0.6341793
15,0.0,0.51404506
16,0.0,0.13519591
17,0.0,0.3948436
18,0.0,0.6031467
19,1.0,0.8021021
20,0.0,0.47271368
21,0.0,0.37482634
22,0.0,0.47242126
23,1.0,0.74692297
24,0.0,0.3534429
25,0.0,0.47505823
26,0.0,0.4427959
27,0.0,0.39942724
28,1.0,0.7860797
29,0.0,0.65581
30,0.0,0.4889857
31,0.0,0.4079056
32,0.0,0.6697657
33,0.0,0.73754036
34,0.0,0.70949244
35,0.0,0.7084605
36,1.0,0.83544487
37,0.0,0.43838817
38,0.0,0.42559373
39,0.0,0.49023446
40,1.0,0.66415256
41,1.0,0.81163615
42,0.0,0.4555667
43,0.0,0.54386294
44,0.0,0.45179692
45,0.0,0.5936948
46,1.0,0.81223553
47,1.0,0.57408524
48,0.0,0.3830737
49,0.0,0.33123475
50,1.0,0.78016025
51,1.0,0.79792655
52,0.0,0.35545883
53,0.0,0.60967517
54,1.0,0.784006
55,0.0,0.70003945
56,0.0,0.21495193
57,0.0,0.2910932
58,0.0,0.61972374
59,1.0,0.6928437
