"","Truth","Predicted","PredictedClass"
"86",0,0.534464668392166,1
"90",1,0.708780743920573,1
"93",1,0.512118413297809,1
"101",0,0.290496102927677,0
"143",1,0.392179765506345,0
"155",1,0.345663136800367,0
"165",0,0.26168292896057,0
"205",1,0.593364320831296,1
"206",0,0.41130048274965,0
"209",1,0.510280050242485,1
"210",1,0.459331047679881,0
"218",0,0.32952770829806,0
"222",0,0.437994905493656,0
"233",0,0.378418776513367,0
"248",0,0.696570203203716,1
"262",1,0.74553583011825,1
"271",0,0.0911351250476181,0
"274",0,0.686539617387882,1
"304",0,0.400115485986936,0
"313",1,0.315251767750401,0
"317",1,0.852818163429792,1
"332",0,0.337519678298847,0
"349",0,0.658107983008119,1
"365",1,0.478915414594866,0
"387",0,0.336762435939865,0
"405",0,0.505234222638213,1
"460",0,0.584552809925411,1
"505",0,0.739804276895793,1
"508",1,0.596068319372942,1
"516",1,0.839995727217591,1
"524",1,0.652414740653305,1
"527",1,0.81656087333349,1
"556",0,0.53193852247889,1
"567",1,0.453573316768999,0
"596",1,0.650184430639117,1
"605",0,0.724155963644085,1
"616",1,0.186035271974469,0
"634",0,0.51494057123125,1
"667",1,0.840787870476848,1
"668",0,0.627808301429955,1
"677",0,0.49224164347875,0
"693",1,0.715957415659827,1
"707",0,0.499221492150561,0
"720",0,0.213298026177162,0
"725",0,0.368758750032942,0
"736",1,0.473944973429778,0
"745",1,0.622081541649682,1
"763",0,0.662278705650736,1
"778",0,0.630546461928237,1
"780",0,0.574100765530615,1
"781",1,0.44105943750952,0
"794",0,0.420291031189348,0
"795",1,0.642219534650935,1
"802",1,0.507550076581713,1
"863",1,0.7105629614822,1
"874",0,0.367300292573661,0
"944",1,0.656461612938308,1
"965",1,0.482984133504962,0
