"","Truth","Predicted","PredictedClass"
"86",0,0.331051107901673,0
"90",1,0.757615240381185,1
"93",1,0.484943314777673,0
"101",0,0.455671067303486,0
"143",1,0.400722950741079,0
"155",1,0.418221140220842,0
"165",0,0.440830440828022,0
"205",1,0.590255535860787,1
"206",0,0.344457116653227,0
"209",1,0.568987874048571,1
"210",1,0.30931214476493,0
"218",0,0.34293304063444,0
"222",0,0.436409000457612,0
"233",0,0.46347470911801,0
"248",0,0.584604245755734,1
"262",1,0.714250665534927,1
"271",0,0.268276038373514,0
"274",0,0.719307743542691,1
"304",0,0.576340327922999,1
"313",1,0.259929136480548,0
"317",1,0.835593080176796,1
"332",0,0.275534124588215,0
"349",0,0.643933306226958,1
"365",1,0.562102955849212,1
"387",0,0.509386614785163,1
"405",0,0.727542947157233,1
"460",0,0.495553055289776,0
"505",0,0.658221490615729,1
"508",1,0.213287328851411,0
"516",1,0.833551366938224,1
"524",1,0.425215349165834,0
"527",1,0.71715107486686,1
"556",0,0.621855320148148,1
"567",1,0.39275908947261,0
"596",1,0.235314341115023,0
"605",0,0.697501438352091,1
"616",1,0.0452137998233664,0
"634",0,0.678158189805086,1
"667",1,0.472472294290691,0
"668",0,0.605896860372547,1
"677",0,0.51629713262906,1
"693",1,0.775310513856395,1
"707",0,0.608852657050769,1
"720",0,0.485213311362816,0
"725",0,0.466592716667914,0
"736",1,0.332751324980173,0
"745",1,0.577312230564022,1
"763",0,0.470331823875822,0
"778",0,0.667620202907227,1
"780",0,0.568375075090625,1
"781",1,0.522435733120157,1
"794",0,0.669220898614617,1
"795",1,0.437079553670119,0
"802",1,0.610989015965535,1
"863",1,0.645911180825518,1
"874",0,0.452030448073591,0
"944",1,0.744101318360736,1
"965",1,0.213820401145084,0
