"","Truth","Predicted","PredictedClass"
"86",0,0.727278448853456,1
"90",1,0.576669966831472,1
"93",1,0.828364672176206,1
"101",0,0.586292708515714,1
"143",1,0.808806774418551,1
"155",1,0.644790272543488,1
"165",0,0.263521778229887,0
"205",1,0.82308553696103,1
"206",0,0.923235389543532,1
"209",1,0.755206307985143,1
"210",1,0.817784061058779,1
"218",0,0.781575041317882,1
"222",0,0.64827727295689,1
"233",0,0.664002133795053,1
"248",0,0.814452932947434,1
"262",1,0.87366877377913,1
"271",0,0.419813381628518,0
"274",0,0.475538386000571,0
"304",0,0.576347074689181,1
"313",1,0.746051760716498,1
"317",1,0.710143590389447,1
"332",0,0.894097887890593,1
"349",0,0.840070865408144,1
"365",1,0.649094571092266,1
"387",0,0.586046608268698,1
"405",0,0.463237094808129,0
"460",0,0.657757254964371,1
"505",0,0.858332438694383,1
"508",1,0.896303394616049,1
"516",1,0.705895095588304,1
"524",1,0.868981398465885,1
"527",1,0.713162760506186,1
"556",0,0.703733403609447,1
"567",1,0.640305157198909,1
"596",1,0.928735793267421,1
"605",0,0.797363203118922,1
"616",1,0.927410691405291,1
"634",0,0.439144864874772,0
"667",1,0.914152701177176,1
"668",0,0.601714866703953,1
"677",0,0.877666236004694,1
"693",1,0.807815748031475,1
"707",0,0.658395060143872,1
"720",0,0.537153597903143,1
"725",0,0.648631585561153,1
"736",1,0.809183856251242,1
"745",1,0.849034283932163,1
"763",0,0.676937365648613,1
"778",0,0.684357759885006,1
"780",0,0.704520450301504,1
"781",1,0.64805041122322,1
"794",0,0.617014028301001,1
"795",1,0.841972572787732,1
"802",1,0.683165314232351,1
"863",1,0.900745014138045,1
"874",0,0.632219630448879,1
"944",1,0.636542357228863,1
"965",1,0.815291187333488,1
