"","Truth","Predicted","PredictedClass"
"163","0",0.63963931618405,1
"174","0",0.474326558476318,0
"954","0",0.40616042345089,0
"962","0",0.487078675902779,0
"979","1",0.891590050674454,1
"1108","1",0.830758315835096,1
"1110","1",0.564121057361876,1
"1112","0",0.700710666013648,1
"1115","1",0.673891863826603,1
"1116","0",0.75170539676037,1
"1117","1",0.961643788864986,1
"1118","1",0.628582241084989,1
"1121","0",0.435875655364844,0
"1123","1",0.935481967953743,1
"1124","0",0.434248567141767,0
"1126","1",0.854325502376834,1
"1128","0",0.283235165524992,0
"1131","1",0.660173781163575,1
"1132","0",0.801376133042583,1
"1134","0",0.808129335185731,1
"1135","1",0.878763873540999,1
"1140","1",0.75561531497577,1
"1147","1",0.604339106844913,1
"1152","0",0.788391583681467,1
"1153","0",0.720896172345173,1
"1155","0",0.395166766511915,0
"1157","1",0.620525719155666,1
"1159","0",0.209511833931989,0
"1161","0",0.642324713135582,1
"1162","0",0.649840793369343,1
"1170","1",0.58355520222254,1
"1176","1",0.412873859618482,0
"1178","1",0.920524843909487,1
"1180","0",0.674412411103591,1
"1183","1",0.572152398244632,1
"1185","0",0.468617235840453,0
"1187","0",0.533695896297484,1
"1190","0",0.614140929246229,1
"1192","1",0.93887384234263,1
"1194","1",0.858961019081119,1
"1195","1",0.561314118884045,1
"1196","0",0.774546533897863,1
"1198","1",0.548507176971015,1
"1200","0",0.276936746415575,0
"1201","0",0.412062207607245,0
"1203","0",0.441483983149367,0
"1204","1",0.569503836965662,1
"1205","1",0.826335976241283,1
"1206","1",0.465145978287494,0
"1208","1",0.90113806113434,1
"1209","0",0.372984902767486,0
"1210","1",0.831799159324856,1
"1212","1",0.547437149404622,1
"1213","0",0.518825311933658,1
"1214","1",0.413041903288855,0
"1216","0",0.415674656312988,0
"1218","1",0.700267886665648,1
"1219","1",0.391747697974634,0
"1227","1",0.865792873217901,1
"1228","0",0.686806656883887,1
"1230","1",0.709058800818055,1
"1231","0",0.680329299447288,1
"1233","1",0.26771299823897,0
