"","Truth","Predicted","PredictedClass"
"86","0",0.974580940139447,1
"90","1",0.967422474568785,1
"93","1",0.987086415222296,1
"101","0",0.891020934785624,1
"143","1",0.980707175356346,1
"155","1",0.929305824549996,1
"165","0",0.4999591987667,0
"205","1",0.969442811627961,1
"206","0",0.838735283386487,1
"209","1",0.82764171622843,1
"210","1",0.924374341844148,1
"218","0",0.892410277211814,1
"222","0",0.890428000654418,1
"233","0",0.889800598054139,1
"248","0",0.973551930244239,1
"262","1",0.9766037115232,1
"271","0",0.789264550432852,1
"274","0",0.868200411821118,1
"304","0",0.904493705204133,1
"313","1",0.940179173776427,1
"317","1",0.96574456024638,1
"332","0",0.850731778073018,1
"349","0",0.911435439876951,1
"365","1",0.950333509529223,1
"387","0",0.698627215049677,1
"405","0",0.770850256900129,1
"460","0",0.837395612646551,1
"505","0",0.885154265514741,1
"508","1",0.988666449861119,1
"516","1",0.985723961466699,1
"524","1",0.9440579926414,1
"527","1",0.903615977134816,1
"556","0",0.703828389496432,1
"567","1",0.952277421416506,1
"596","1",0.964934362629905,1
"605","0",0.976352527821786,1
"616","1",0.972548052880356,1
"634","0",0.808173306371757,1
"667","1",0.988403797017613,1
"668","0",0.960815184256322,1
"677","0",0.756278874330759,1
"693","1",0.879289722835077,1
"707","0",0.768333790767879,1
"720","0",0.83871599625393,1
"725","0",0.924003646802491,1
"736","1",0.987551819714575,1
"745","1",0.951103290778761,1
"763","0",0.888597178530678,1
"778","0",0.939472859447877,1
"780","0",0.864531571522658,1
"781","1",0.914786150588093,1
"794","0",0.69729770490681,1
"795","1",0.946187683247858,1
"802","1",0.95989914650372,1
"863","1",0.953194572547793,1
"874","0",0.880940978084282,1
"944","1",0.937744009003636,1
"965","1",0.977878621532878,1
