"","Truth","Predicted","PredictedClass"
"86","0",0.943344860769613,1
"90","1",0.919698938123715,1
"93","1",0.929356957089078,1
"101","0",0.875644050656845,1
"143","1",0.943383863424853,1
"155","1",0.883251025853211,1
"165","0",0.578011818975881,1
"205","1",0.954723477961555,1
"206","0",0.818671772393669,1
"209","1",0.581434574885712,1
"210","1",0.89457507403679,1
"218","0",0.819336630176437,1
"222","0",0.842188616302765,1
"233","0",0.874758841575063,1
"248","0",0.96598427275755,1
"262","1",0.906788381721247,1
"271","0",0.544875095984768,1
"274","0",0.824377463379756,1
"304","0",0.878206240757489,1
"313","1",0.905742706506749,1
"317","1",0.940138079360028,1
"332","0",0.815353479703002,1
"349","0",0.788225011758558,1
"365","1",0.827289349701312,1
"387","0",0.727593589319178,1
"405","0",0.755916663903994,1
"460","0",0.869339635399212,1
"505","0",0.900299531029898,1
"508","1",0.975682781244418,1
"516","1",0.922115604311756,1
"524","1",0.931267285641149,1
"527","1",0.879304099164038,1
"556","0",0.770448350694352,1
"567","1",0.947106476746995,1
"596","1",0.952965120029981,1
"605","0",0.907571985617393,1
"616","1",0.893578454243456,1
"634","0",0.813935886932205,1
"667","1",0.964384301550627,1
"668","0",0.930962024239328,1
"677","0",0.803999316582272,1
"693","1",0.90078411304913,1
"707","0",0.79928120945289,1
"720","0",0.512077268599658,1
"725","0",0.857212221954385,1
"736","1",0.920146319836818,1
"745","1",0.929378790443772,1
"763","0",0.926815066178511,1
"778","0",0.841980302381649,1
"780","0",0.877577854844138,1
"781","1",0.917725197325796,1
"794","0",0.621554749705739,1
"795","1",0.919656945513924,1
"802","1",0.768287870852767,1
"863","1",0.93018139367639,1
"874","0",0.788993360496778,1
"944","1",0.91538415973165,1
"965","1",0.950393533589001,1
