"","Truth","Predicted","PredictedClass"
"86",0,0.841587246539589,1
"90",1,0.590229736974903,1
"93",1,0.675290485423798,1
"101",0,0.49994705737189,0
"143",1,0.735283891600608,1
"155",1,0.673751668543209,1
"165",0,0.817628157377956,1
"205",1,0.61202361075839,1
"206",0,0.284525904106646,0
"209",1,0.291719577834884,0
"210",1,0.511422053715903,1
"218",0,0.55820814945454,1
"222",0,0.561959453142784,1
"233",0,0.544848698322971,1
"248",0,0.786774237066245,1
"262",1,0.885762785565531,1
"271",0,0.179428295662765,0
"274",0,0.846722563950804,1
"304",0,0.594000251090679,1
"313",1,0.637953917092228,1
"317",1,0.892862571051214,1
"332",0,0.272941660921345,0
"349",0,0.346517575528573,0
"365",1,0.624369395429458,1
"387",0,0.293254879116588,0
"405",0,0.701315071031029,1
"460",0,0.816894789039818,1
"505",0,0.818779169511683,1
"508",1,0.8850284851123,1
"516",1,0.896490584821656,1
"524",1,0.777507716420174,1
"527",1,0.69658002936087,1
"556",0,0.537414302323308,1
"567",1,0.481256799267406,0
"596",1,0.930993518917853,1
"605",0,0.558499526323709,1
"616",1,0.620264731418176,1
"634",0,0.759370932506753,1
"667",1,0.840775985125272,1
"668",0,0.888261299853384,1
"677",0,0.415039776588534,0
"693",1,0.424649329643589,0
"707",0,0.595601120434631,1
"720",0,0.2214740282307,0
"725",0,0.363763771262136,0
"736",1,0.6374021694506,1
"745",1,0.681271694982723,1
"763",0,0.941162821353977,1
"778",0,0.598946325829593,1
"780",0,0.666511929924244,1
"781",1,0.70871726143638,1
"794",0,0.170042498775822,0
"795",1,0.816769217978931,1
"802",1,0.560300373815068,1
"863",1,0.544256312037262,1
"874",0,0.30265998104644,0
"944",1,0.89052270164308,1
"965",1,0.804721648500832,1
