"","Truth","Predicted","PredictedClass"
"86","0",0.851271792119194,1
"90","1",0.868401967041562,1
"93","1",0.878673631833019,1
"101","0",0.771856842788033,1
"143","1",0.894625503164033,1
"155","1",0.796281956800367,1
"165","0",0.549727607622389,1
"205","1",0.905352060944917,1
"206","0",0.762308702298035,1
"209","1",0.634914680879144,1
"210","1",0.840734758902628,1
"218","0",0.777247123867144,1
"222","0",0.78567353151728,1
"233","0",0.820964157262679,1
"248","0",0.896110055182445,1
"262","1",0.841248693633072,1
"271","0",0.620173072788967,1
"274","0",0.747302451117444,1
"304","0",0.799461228393111,1
"313","1",0.841576348113823,1
"317","1",0.85743505324973,1
"332","0",0.722326401558586,1
"349","0",0.786517594646089,1
"365","1",0.758347232447298,1
"387","0",0.700991648053739,1
"405","0",0.708660430746746,1
"460","0",0.770013335172721,1
"505","0",0.83166165834199,1
"508","1",0.933637243207743,1
"516","1",0.865931746559466,1
"524","1",0.846071563049591,1
"527","1",0.854470424834042,1
"556","0",0.748236322073469,1
"567","1",0.868008275020708,1
"596","1",0.860264407274565,1
"605","0",0.832858009925974,1
"616","1",0.843678995959899,1
"634","0",0.782182321453795,1
"667","1",0.889495672264017,1
"668","0",0.883669810663997,1
"677","0",0.723296887370492,1
"693","1",0.800268306096455,1
"707","0",0.714374043103683,1
"720","0",0.582825183526219,1
"725","0",0.792019356789845,1
"736","1",0.83901239970354,1
"745","1",0.878751733872739,1
"763","0",0.805631091329333,1
"778","0",0.785307292783889,1
"780","0",0.816025926257483,1
"781","1",0.834408597986497,1
"794","0",0.690903875070417,1
"795","1",0.857148191403384,1
"802","1",0.740106697414818,1
"863","1",0.86991287942632,1
"874","0",0.778079533052716,1
"944","1",0.827555347427658,1
"965","1",0.877320847957936,1
