"","Bottleneck","AUC","train_mmd","train_recon","train_total","test_mmd","test_recon","Dataset"
"1",11,0.57,1.01868534088135,9.75607585906982,9.76631164550781,1.03453421592712,8.59048843383789,"BioHEART-CT"
"2",12,0.6,1.32220900058746,9.6704912185669,9.68367862701416,1.34486162662506,8.48385715484619,"BioHEART-CT"
"3",13,0.72,1.2120178937912,9.68717575073242,9.6992654800415,1.27724063396454,8.51664733886719,"BioHEART-CT"
"4",14,0.72,1.51093637943268,9.6701192855835,9.68521499633789,1.52537107467651,8.49464321136475,"BioHEART-CT"
"5",15,0.76,1.352543592453,9.60814189910889,9.62164878845215,1.40459525585175,8.4194746017456,"BioHEART-CT"
"6",16,0.82,1.23901164531708,9.58784484863281,9.60019207000732,1.2768360376358,8.37243175506592,"BioHEART-CT"
"7",17,0.69,1.12854480743408,9.58664417266846,9.59787654876709,1.14721465110779,8.3790864944458,"BioHEART-CT"
"8",18,0.78,1.38785791397095,9.56505107879639,9.57890892028809,1.43323016166687,8.35242938995361,"BioHEART-CT"
"9",19,0.65,1.11658048629761,9.61267471313477,9.62385654449463,1.08854007720947,8.41265201568604,"BioHEART-CT"
"10",20,0.73,1.24617564678192,9.62808132171631,9.64052772521973,1.38799023628235,8.43607139587402,"BioHEART-CT"
