"","Truth","Predicted","PredictedClass"
"86",0,0.727623780661568,1
"90",1,0.926290586401202,1
"93",1,0.883640381221552,1
"101",0,0.744055793252146,1
"143",1,0.903201211288826,1
"155",1,0.747034235766647,1
"165",0,0.444263055077742,0
"205",1,0.889049106618767,1
"206",0,0.601483985501427,1
"209",1,0.453461644728273,0
"210",1,0.832091779173802,1
"218",0,0.745773774439684,1
"222",0,0.76338748376531,1
"233",0,0.858775598014742,1
"248",0,0.830407376107713,1
"262",1,0.628205286842358,1
"271",0,0.731964171712858,1
"274",0,0.551090349537289,1
"304",0,0.803594235424335,1
"313",1,0.883031787668426,1
"317",1,0.820017580412392,1
"332",0,0.671475484838825,1
"349",0,0.811636914268762,1
"365",1,0.617661360489531,1
"387",0,0.717762047245275,1
"405",0,0.594281115440713,1
"460",0,0.656142179734927,1
"505",0,0.767995674571033,1
"508",1,0.970968306693746,1
"516",1,0.830387351814342,1
"524",1,0.751738132192131,1
"527",1,0.912382876649441,1
"556",0,0.787706167941622,1
"567",1,0.900598101757671,1
"596",1,0.850666393688866,1
"605",0,0.897430099517587,1
"616",1,0.849167428903498,1
"634",0,0.819495682403069,1
"667",1,0.848653283502538,1
"668",0,0.92304687950049,1
"677",0,0.709147993261747,1
"693",1,0.81907624092618,1
"707",0,0.775715083302441,1
"720",0,0.687501883641044,1
"725",0,0.880825495969092,1
"736",1,0.87688649460197,1
"745",1,0.889442433587295,1
"763",0,0.58162821817201,1
"778",0,0.840299658738986,1
"780",0,0.85404905149007,1
"781",1,0.697107161401162,1
"794",0,0.790209409590111,1
"795",1,0.873556053469959,1
"802",1,0.741824798075183,1
"863",1,0.931917616249802,1
"874",0,0.857206278963194,1
"944",1,0.808124293915479,1
"965",1,0.850482198914988,1
