"","Truth","Predicted","PredictedClass"
"86","0",0.719686749425743,1
"90","1",0.588473205175576,1
"93","1",0.531838581045854,1
"101","0",0.498281680315046,0
"143","1",0.568906897093991,1
"155","1",0.583223324810283,1
"165","0",0.879313219757665,1
"205","1",0.48256965690264,0
"206","0",0.101741335784916,0
"209","1",0.273496748854435,0
"210","1",0.399442491902186,0
"218","0",0.444190819355338,0
"222","0",0.46769425548016,0
"233","0",0.522102025195644,1
"248","0",0.552451179195896,1
"262","1",0.677746734071902,1
"271","0",0.383900032534737,0
"274","0",0.828446260817938,1
"304","0",0.603934105095935,1
"313","1",0.535311453033467,1
"317","1",0.806941185084155,1
"332","0",0.154707248102979,0
"349","0",0.337174826221286,0
"365","1",0.510651450494421,1
"387","0",0.266927522851507,0
"405","0",0.715480103770614,1
"460","0",0.766213263305378,1
"505","0",0.61292320608365,1
"508","1",0.767771274912543,1
"516","1",0.813012155866447,1
"524","1",0.580389770211622,1
"527","1",0.67680968961422,1
"556","0",0.568255771882696,1
"567","1",0.378541601332379,0
"596","1",0.665355294276773,1
"605","0",0.506682268873294,1
"616","1",0.44487870884595,0
"634","0",0.829800540601911,1
"667","1",0.488987956796294,0
"668","0",0.87951065711777,1
"677","0",0.198802673759765,0
"693","1",0.318243787767604,0
"707","0",0.579549926352085,1
"720","0",0.390945965892868,0
"725","0",0.363865699312581,0
"736","1",0.434719048240054,0
"745","1",0.517722927144746,1
"763","0",0.884868310836737,1
"778","0",0.546622067967988,1
"780","0",0.561356614897559,1
"781","1",0.594479902940367,1
"794","0",0.322844306707996,0
"795","1",0.747886630615192,1
"802","1",0.511002160683973,1
"863","1",0.357040772756152,0
"874","0",0.308110135069667,0
"944","1",0.909089288009098,1
"965","1",0.714649465481845,1
