"","Truth","Predicted","PredictedClass"
"86",0,0.80243729077558,1
"90",1,0.585966903193618,1
"93",1,0.775320866968435,1
"101",0,0.584901062989816,1
"143",1,0.839027684034019,1
"155",1,0.728701218731272,1
"165",0,0.369270400046809,0
"205",1,0.892858274174724,1
"206",0,0.803938038484603,1
"209",1,0.572748742517347,1
"210",1,0.673865286227828,1
"218",0,0.678123900409589,1
"222",0,0.778756674724511,1
"233",0,0.728473963645732,1
"248",0,0.866110724326694,1
"262",1,0.831711300412049,1
"271",0,0.338082398603267,0
"274",0,0.651293811628709,1
"304",0,0.557668576562101,1
"313",1,0.743494901736385,1
"317",1,0.797298567330444,1
"332",0,0.610812348505458,1
"349",0,0.655138837033141,1
"365",1,0.620996351211885,1
"387",0,0.595823183163099,1
"405",0,0.557978896968401,1
"460",0,0.683005893895493,1
"505",0,0.879595262661193,1
"508",1,0.815170796715896,1
"516",1,0.819030787840532,1
"524",1,0.795912514733151,1
"527",1,0.670626029822555,1
"556",0,0.594716295998569,1
"567",1,0.73482187785337,1
"596",1,0.891160749765514,1
"605",0,0.692443065127202,1
"616",1,0.706819561099196,1
"634",0,0.508056412977987,1
"667",1,0.917550705026133,1
"668",0,0.714874938059107,1
"677",0,0.554024792925276,1
"693",1,0.704168808475036,1
"707",0,0.557163542194734,1
"720",0,0.352905349611496,0
"725",0,0.600228793033788,1
"736",1,0.808284217934694,1
"745",1,0.796972079500397,1
"763",0,0.817851225647844,1
"778",0,0.667066758797872,1
"780",0,0.686319461587546,1
"781",1,0.792819601783113,1
"794",0,0.363043828374428,0
"795",1,0.708354406820819,1
"802",1,0.606789143363686,1
"863",1,0.796234470226425,1
"874",0,0.643241182756869,1
"944",1,0.777644482541499,1
"965",1,0.775588391721651,1
