"","Truth","Predicted","PredictedClass"
"86","0",0.732384960177912,1
"90","1",0.586892687875701,1
"93","1",0.807810407471033,1
"101","0",0.651887387289967,1
"143","1",0.838583628514886,1
"155","1",0.724139319020349,1
"165","0",0.360199955897215,0
"205","1",0.836620763624955,1
"206","0",0.91343466852504,1
"209","1",0.697504599095698,1
"210","1",0.775048605811013,1
"218","0",0.811660463857667,1
"222","0",0.758001853798392,1
"233","0",0.686656377488215,1
"248","0",0.833745763334484,1
"262","1",0.89252468778418,1
"271","0",0.48539939611975,0
"274","0",0.590590815098997,1
"304","0",0.582678532081307,1
"313","1",0.785128281398236,1
"317","1",0.743431286815909,1
"332","0",0.803783279615518,1
"349","0",0.717303574708465,1
"365","1",0.68234790229617,1
"387","0",0.683609410612153,1
"405","0",0.58005270367724,1
"460","0",0.636485918250196,1
"505","0",0.88276271139314,1
"508","1",0.896990766240166,1
"516","1",0.81322961736483,1
"524","1",0.799368641195026,1
"527","1",0.710843606998547,1
"556","0",0.687678448932203,1
"567","1",0.668371006726429,1
"596","1",0.944055988063292,1
"605","0",0.705869223404531,1
"616","1",0.800840544861664,1
"634","0",0.497031957651054,0
"667","1",0.90700520720231,1
"668","0",0.604934189138242,1
"677","0",0.834499312022783,1
"693","1",0.77101835487702,1
"707","0",0.651356991089124,1
"720","0",0.496723314940705,0
"725","0",0.680609549470893,1
"736","1",0.844988234152094,1
"745","1",0.830539621429718,1
"763","0",0.733775693219801,1
"778","0",0.705776135425836,1
"780","0",0.742547422305332,1
"781","1",0.708020346182805,1
"794","0",0.473731040264111,0
"795","1",0.691829388963693,1
"802","1",0.692061073026159,1
"863","1",0.869380112792703,1
"874","0",0.659427354704246,1
"944","1",0.63894261066217,1
"965","1",0.739389591373782,1
