"","Truth","Predicted","Predicted_class"
"86","0",0.825818875325842,1
"90","1",0.862654624313248,1
"93","1",0.852986356769078,1
"101","0",0.767704943117777,1
"143","1",0.891718621733305,1
"155","1",0.803760078577206,1
"165","0",0.667851711467261,1
"205","1",0.946416726033497,1
"206","0",0.877435055160987,1
"209","1",0.831227539373036,1
"210","1",0.880770157379849,1
"218","0",0.840766661522392,1
"222","0",0.789097524792834,1
"233","0",0.869109187678594,1
"248","0",0.872896734859648,1
"262","1",0.872643310094007,1
"271","0",0.544616130045245,1
"274","0",0.722799284386738,1
"304","0",0.821885175997081,1
"313","1",0.84252080857222,1
"317","1",0.854743908687936,1
"332","0",0.727302416204203,1
"349","0",0.826264723563447,1
"365","1",0.834850263962969,1
"387","0",0.815648167321861,1
"405","0",0.728452226292859,1
"460","0",0.757947696307315,1
"505","0",0.872055645486577,1
"508","1",0.889715278374496,1
"516","1",0.933454179728225,1
"524","1",0.857197152018808,1
"527","1",0.880032724728553,1
"556","0",0.8774056693175,1
"567","1",0.907741820728837,1
"596","1",0.878528876261432,1
"605","0",0.844146626850969,1
"616","1",0.823157630018989,1
"634","0",0.801090453019551,1
"667","1",0.886854489462813,1
"668","0",0.923429178247063,1
"677","0",0.622291089270093,1
"693","1",0.895016534654215,1
"707","0",0.720214543353648,1
"720","0",0.694723289217471,1
"725","0",0.78270845724584,1
"736","1",0.862532347765721,1
"745","1",0.885993544722291,1
"763","0",0.735678532775283,1
"778","0",0.847621335810524,1
"780","0",0.881593793966919,1
"781","1",0.777478417265072,1
"794","0",0.743170077552907,1
"795","1",0.892150808862888,1
"802","1",0.781516022483845,1
"863","1",0.885686712589583,1
"874","0",0.768595347198532,1
"944","1",0.913073629846195,1
"965","1",0.881026213165258,1
