"","num_samples","AUC","train_mmd","train_recon","train_total","test_mmd","test_recon","Dataset"
"1",1,0.69,0.00778399547562003,10.1446619033813,10.1454429626465,0.00787077378481627,8.97358322143555,"BioHEART-CT"
"2",2,0.83,0.00795646663755178,10.1100845336914,10.1108875274658,0.00821324624121189,8.92069435119629,"BioHEART-CT"
"3",3,0.69,0.00780127523466945,10.065224647522,10.0660009384155,0.0078952182084322,8.84264469146729,"BioHEART-CT"
"4",4,0.78,0.00777869019657373,10.0609130859375,10.0617065429688,0.00783697608858347,8.86929798126221,"BioHEART-CT"
"5",5,0.75,0.00791294872760773,10.0824499130249,10.0832328796387,0.00802064128220081,8.88429641723633,"BioHEART-CT"
"6",6,0.74,0.00783663522452116,10.0648231506348,10.0656070709229,0.0079609202221036,8.88888072967529,"BioHEART-CT"
"7",7,0.61,0.00784582458436489,10.0606517791748,10.0614404678345,0.00791711360216141,8.86317825317383,"BioHEART-CT"
"8",8,0.72,0.00798603240400553,10.0552415847778,10.0560865402222,0.00804337579756975,8.84354877471924,"BioHEART-CT"
"9",9,0.7,0.00787091162055731,10.059850692749,10.0606451034546,0.00794100388884544,8.86208820343018,"BioHEART-CT"
"10",10,0.7,0.00795077718794346,10.0227336883545,10.0235376358032,0.00806452985852957,8.82101535797119,"BioHEART-CT"
