"","Truth","Predicted"
"86","0",0.984459807038269
"90","1",0.988892495528708
"93","1",0.937178746757181
"101","0",0.976882568758471
"143","1",0.984071268329217
"155","1",0.981156505596218
"165","0",0.944348767215725
"205","1",0.991581110409791
"206","0",0.974595090097511
"209","1",0.954749077440438
"210","1",0.9727473348834
"218","0",0.973679419051641
"222","0",0.951085277116709
"233","0",0.986138735853495
"248","0",0.991361305884506
"262","1",0.981308600342569
"271","0",0.870959144746654
"274","0",0.962607349424002
"304","0",0.987583141115658
"313","1",0.977844175184786
"317","1",0.985646753539463
"332","0",0.951243744410231
"349","0",0.984208799367311
"365","1",0.976640783120754
"387","0",0.945934477376817
"405","0",0.971975527038747
"460","0",0.969431085590658
"505","0",0.979619065825402
"508","1",0.984101561472562
"516","1",0.991352801324489
"524","1",0.992746059991945
"527","1",0.984611035543524
"556","0",0.968327275409242
"567","1",0.988944598853207
"596","1",0.984904365704109
"605","0",0.963197533849528
"616","1",0.969645109800049
"634","0",0.987749737294015
"667","1",0.971732284942585
"668","0",0.994365906225023
"677","0",0.939968742898416
"693","1",0.986570175213062
"707","0",0.937106923299859
"720","0",0.954582676555907
"725","0",0.928301101164979
"736","1",0.958832012409438
"745","1",0.976794454710701
"763","0",0.982797899026526
"778","0",0.959381706456448
"780","0",0.970504045107865
"781","1",0.984357465221835
"794","0",0.964566093876919
"795","1",0.99035128510365
"802","1",0.954976411169299
"863","1",0.956708620549422
"874","0",0.981106992628553
"944","1",0.993540641570353
"965","1",0.991246065746511
