"","Truth","Predicted","Predicted_class"
"86","0",0.768779865675805,1
"90","1",0.732646226852497,1
"93","1",0.668834893233196,1
"101","0",0.664995007910207,1
"143","1",0.660644844986342,1
"155","1",0.682116200808546,1
"165","0",0.752453460389631,1
"205","1",0.663191386164582,1
"206","0",0.543849583646126,1
"209","1",0.578726735132811,1
"210","1",0.655289615244353,1
"218","0",0.624976035892713,1
"222","0",0.616732804561494,1
"233","0",0.635843928365278,1
"248","0",0.706190100897088,1
"262","1",0.704399616943771,1
"271","0",0.48681335268325,0
"274","0",0.780732356320004,1
"304","0",0.691083159015388,1
"313","1",0.659686135850017,1
"317","1",0.805188946930632,1
"332","0",0.48192799644592,0
"349","0",0.615220288114616,1
"365","1",0.64671416915914,1
"387","0",0.486048412348189,0
"405","0",0.715328596542085,1
"460","0",0.722865748759394,1
"505","0",0.6982459123472,1
"508","1",0.757717812416244,1
"516","1",0.818927754358124,1
"524","1",0.727230143633539,1
"527","1",0.724706238872235,1
"556","0",0.735623848614005,1
"567","1",0.634896087190895,1
"596","1",0.617775719018368,1
"605","0",0.688068063478644,1
"616","1",0.67045939828145,1
"634","0",0.771262550795014,1
"667","1",0.651061114400686,1
"668","0",0.794098812709326,1
"677","0",0.502778744092808,1
"693","1",0.575760901190965,1
"707","0",0.639179218551848,1
"720","0",0.61410066593393,1
"725","0",0.618646552151792,1
"736","1",0.580055013392384,1
"745","1",0.695162026160433,1
"763","0",0.783900329434349,1
"778","0",0.660010553842634,1
"780","0",0.688983965927847,1
"781","1",0.685745467884329,1
"794","0",0.582507182962844,1
"795","1",0.761950884457811,1
"802","1",0.640187875448435,1
"863","1",0.657040480991111,1
"874","0",0.542837445838456,1
"944","1",0.817220635312113,1
"965","1",0.780309262591859,1
