"","Truth","Predicted"
"86","0",0.662266915274316
"90","1",0.487430039322433
"93","1",0.860451619281195
"101","0",0.611939070165138
"143","1",0.894252191302197
"155","1",0.685813162191583
"165","0",0.47436121633858
"205","1",0.891016068788712
"206","0",0.91003273019089
"209","1",0.838261727518259
"210","1",0.853874737565765
"218","0",0.778047105928307
"222","0",0.804432476685704
"233","0",0.688879523265609
"248","0",0.798617174547724
"262","1",0.912752249038777
"271","0",0.509268849343146
"274","0",0.579779972316299
"304","0",0.602249491195832
"313","1",0.7264692928049
"317","1",0.621817726746742
"332","0",0.64324415964441
"349","0",0.294677141689144
"365","1",0.70576637989552
"387","0",0.828751449838002
"405","0",0.51676226129716
"460","0",0.519558971675774
"505","0",0.748212046034516
"508","1",0.757298659209232
"516","1",0.843504817671482
"524","1",0.509025274560104
"527","1",0.373562105087471
"556","0",0.702835814853434
"567","1",0.573045812719693
"596","1",0.845090827340717
"605","0",0.681632253636253
"616","1",0.581976391587104
"634","0",0.255000611288536
"667","1",0.832153497212428
"668","0",0.625407537222169
"677","0",0.318620597425051
"693","1",0.684478593900869
"707","0",0.4722994732621
"720","0",0.360757501600747
"725","0",0.640701965726932
"736","1",0.719019026293276
"745","1",0.858749587280382
"763","0",0.351801804288449
"778","0",0.635898803753846
"780","0",0.632381060667568
"781","1",0.369998825520384
"794","0",0.299071492285398
"795","1",0.421609528924309
"802","1",0.573782649237536
"863","1",0.922941514312657
"874","0",0.446652141265801
"944","1",0.761167751944552
"965","1",0.740377248767593
