"","Truth","Predicted","Predicted_class"
"86","0",0.893964437801887,1
"90","1",0.744016125197125,1
"93","1",0.886412406745163,1
"101","0",0.760489023381979,1
"143","1",0.946306148250418,1
"155","1",0.799724016678786,1
"165","0",0.451127245261118,0
"205","1",0.962101532516971,1
"206","0",0.915962088861505,1
"209","1",0.67748878607221,1
"210","1",0.814150657198526,1
"218","0",0.865580386447553,1
"222","0",0.887617936514209,1
"233","0",0.817138269196108,1
"248","0",0.919681412744922,1
"262","1",0.958183261947122,1
"271","0",0.552036857890026,1
"274","0",0.800449956270594,1
"304","0",0.703531584830825,1
"313","1",0.884934407685678,1
"317","1",0.86906609266219,1
"332","0",0.807207907934369,1
"349","0",0.836610830593355,1
"365","1",0.853596009395366,1
"387","0",0.833922477659177,1
"405","0",0.696836095289221,1
"460","0",0.720797614835564,1
"505","0",0.936728700355053,1
"508","1",0.967974685929781,1
"516","1",0.964872964572206,1
"524","1",0.844437121178384,1
"527","1",0.778124254401865,1
"556","0",0.744668049247971,1
"567","1",0.756214977768033,1
"596","1",0.975356472836848,1
"605","0",0.790632140579903,1
"616","1",0.863936893601415,1
"634","0",0.553643305489727,1
"667","1",0.951699197405665,1
"668","0",0.765050149236323,1
"677","0",0.752584308029499,1
"693","1",0.747129267665243,1
"707","0",0.740267314493097,1
"720","0",0.536343033670401,1
"725","0",0.784789998551955,1
"736","1",0.917880997932365,1
"745","1",0.912042991707986,1
"763","0",0.900625618473962,1
"778","0",0.838217507447826,1
"780","0",0.871624185823712,1
"781","1",0.832869374207903,1
"794","0",0.398444270646194,0
"795","1",0.696818584761347,1
"802","1",0.739202426087606,1
"863","1",0.923542629927171,1
"874","0",0.702462831148848,1
"944","1",0.799295767344404,1
"965","1",0.882224433351479,1
