"","truth","pred_test"
"87","1",0.809370329442216
"88","1",0.791412573733341
"89","1",0.717557670362927
"92","1",0.757174448875748
"96","1",0.72648030487885
"97","1",0.822520558971726
"103","0",0.70099092104234
"152","0",0.868522201989828
"154","0",0.60592040133867
"167","1",0.757835526818923
"169","1",0.779492684899576
"171","0",0.579162511958552
"173","1",0.873026740248499
"204","1",0.755437367517864
"208","1",0.611248216189857
"211","0",0.58041437296058
"213","1",0.843007526817732
"214","1",0.74594725582175
"215","0",0.561279896937255
"223","1",0.895111939882257
"224","1",0.737750829580432
"229","1",0.635048705863875
"230","1",0.735082485044849
"231","1",0.777818766934047
"232","1",0.892413174669538
"236","1",0.789569719013056
"241","1",0.723577767063371
"245","0",0.695701055511522
"246","0",0.538006325841444
"250","1",0.796676712817998
"251","0",0.50283576767541
"255","0",0.692387827156415
"257","1",0.894310658052552
"258","0",0.339757501055464
"259","1",0.648490644317744
"260","0",0.566155398726741
"264","1",0.747437363672755
"270","1",0.622550230813067
"276","1",0.550366206175245
"288","1",0.790004451187701
"293","0",0.336978621541131
"295","1",0.760706383953071
"297","1",0.832163589244328
"307","1",0.558773091014007
"322","1",0.805652878059095
"334","1",0.638616840070689
"342","1",0.803499423896963
"347","0",0.574731158848127
"358","1",0.649988517059032
"360","1",0.594652725822638
"364","1",0.854989269777014
"373","0",0.394383996295977
"380","1",0.604855638460913
"390","1",0.84746786952371
"406","1",0.890559270215285
"409","0",0.44003929910571
"413","1",0.760261579611063
"428","1",0.86527534417138
"437","0",0.812112956624202
"440","1",0.837293484994554
"442","1",0.687444120207351
"446","1",0.872057960751546
"465","1",0.734737189986822
"501","0",0.634844867387344
"520","1",0.692830104396916
"525","1",0.757062979288477
"528","1",0.705612453580964
"551","1",0.88716098994011
"586","1",0.584142238267571
"587","1",0.747776118251809
"591","0",0.588177551753723
"603","1",0.653456598124642
"608","1",0.587420986906986
"621","1",0.439591486813405
"625","1",0.629851323513678
"628","0",0.529295117676065
"633","0",0.332292685296986
"674","0",0.479090986831263
"679","0",0.678114779331655
"702","1",0.670233347540812
"710","0",0.689304853442559
"711","1",0.724307092137326
"715","0",0.615610217582226
"717","1",0.731606716519089
"719","1",0.769909956155197
"723","1",0.767159458949688
"732","1",0.770597490895492
"737","0",0.472673561070656
"739","0",0.587089636759788
"740","1",0.646737464162589
"747","0",0.723265071105942
"750","0",0.353368557035009
"761","1",0.622331423588398
"767","1",0.811291231228395
"768","1",0.823007671002784
"770","1",0.655280999850299
"771","1",0.774476351479823
"774","0",0.483664394172744
"776","1",0.862709165089641
"777","0",0.762900420010763
"791","1",0.635058585599354
"801","1",0.717480710720106
"804","1",0.827620809444952
"805","1",0.764245934639112
"867","0",0.518263840722978
"868","1",0.666516490040915
"872","0",0.80660655190168
"880","0",0.51051274496339
"894","0",0.347969124146985
"940","1",0.705815326388948
"941","1",0.63993979300584
