"","Truth","Predicted","PredictedClass"
"86",0,0.904629141903818,1
"90",1,0.93015559779481,1
"93",1,0.856832450239693,1
"101",0,0.626914639213902,1
"143",1,0.95072862261727,1
"155",1,0.962263484502903,1
"165",0,0.532991590474866,1
"205",1,0.914022179746484,1
"206",0,0.835871916490445,1
"209",1,0.829304002004989,1
"210",1,0.881332201406909,1
"218",0,0.799500116580939,1
"222",0,0.769820595133086,1
"233",0,0.87029728950073,1
"248",0,0.953256686978333,1
"262",1,0.845497554114101,1
"271",0,0.591253504147857,1
"274",0,0.751468435658991,1
"304",0,0.886644410721093,1
"313",1,0.81496097028643,1
"317",1,0.820983020851062,1
"332",0,0.576995880813531,1
"349",0,0.941160601493526,1
"365",1,0.940782854165944,1
"387",0,0.863369711207328,1
"405",0,0.70792804981641,1
"460",0,0.597636202783089,1
"505",0,0.976883778649637,1
"508",1,0.888430621931389,1
"516",1,0.974583408242779,1
"524",1,0.915213264675637,1
"527",1,0.879851706384209,1
"556",0,0.631076024059969,1
"567",1,0.763876361580123,1
"596",1,0.97140136513918,1
"605",0,0.891811982754701,1
"616",1,0.498963881392959,0
"634",0,0.832851776609595,1
"667",1,0.978017751141129,1
"668",0,0.876446511729317,1
"677",0,0.77440031466468,1
"693",1,0.756436081790714,1
"707",0,0.906573838144612,1
"720",0,0.911325811204388,1
"725",0,0.897712813948688,1
"736",1,0.732321941152801,1
"745",1,0.843064425978377,1
"763",0,0.858212593336048,1
"778",0,0.932388392845608,1
"780",0,0.951054502853187,1
"781",1,0.613832136724909,1
"794",0,0.817829493042659,1
"795",1,0.820013142748069,1
"802",1,0.79662127862117,1
"863",1,0.971429503462488,1
"874",0,0.766754237934295,1
"944",1,0.792346082638535,1
"965",1,0.780536072316545,1
