"","Truth","Predicted","PredictedClass"
"86",0,0.93144544627979,1
"90",1,0.950086936515795,1
"93",1,0.805670644345008,1
"101",0,0.679620817777085,1
"143",1,0.947591454081397,1
"155",1,0.974740079952894,1
"165",0,0.659665606585182,1
"205",1,0.91904719904123,1
"206",0,0.752739283048433,1
"209",1,0.820579107658997,1
"210",1,0.872424069438773,1
"218",0,0.77883193494448,1
"222",0,0.763778615752998,1
"233",0,0.886294370922055,1
"248",0,0.952335586822525,1
"262",1,0.838162227037817,1
"271",0,0.71667989908628,1
"274",0,0.789425675152154,1
"304",0,0.910267619030509,1
"313",1,0.813049452471185,1
"317",1,0.793459185338216,1
"332",0,0.557493492895125,1
"349",0,0.947989071399487,1
"365",1,0.952154437949408,1
"387",0,0.864860389025379,1
"405",0,0.75756277733156,1
"460",0,0.606210988862654,1
"505",0,0.984445026838626,1
"508",1,0.886571205605674,1
"516",1,0.98193801184761,1
"524",1,0.913305227086782,1
"527",1,0.889885026714665,1
"556",0,0.591951168798,1
"567",1,0.78845276725179,1
"596",1,0.966740739260029,1
"605",0,0.889085135301781,1
"616",1,0.501749993074069,1
"634",0,0.888404442702551,1
"667",1,0.961109157929549,1
"668",0,0.914333711578484,1
"677",0,0.742558560985827,1
"693",1,0.741627378002675,1
"707",0,0.926274296210083,1
"720",0,0.936794210457756,1
"725",0,0.922496698601084,1
"736",1,0.750542379350336,1
"745",1,0.8221118289683,1
"763",0,0.876458480353742,1
"778",0,0.942063086192176,1
"780",0,0.954213906154285,1
"781",1,0.6307430084052,1
"794",0,0.884078558101621,1
"795",1,0.835777842164797,1
"802",1,0.82768761334891,1
"863",1,0.968110441675971,1
"874",0,0.803291449874592,1
"944",1,0.829703722381369,1
"965",1,0.806003106573713,1
