"","Truth","Predicted","PredictedClass"
"86",0,0.660061659266418,1
"90",1,0.554287577553503,1
"93",1,0.822276314613962,1
"101",0,0.625675659686053,1
"143",1,0.782829835762841,1
"155",1,0.596174201580423,1
"165",0,0.330693714481188,0
"205",1,0.754148931613479,1
"206",0,0.880066708462849,1
"209",1,0.773058340662512,1
"210",1,0.799695973586994,1
"218",0,0.728598167390123,1
"222",0,0.762985494264646,1
"233",0,0.643729727008231,1
"248",0,0.798640074852812,1
"262",1,0.777903674384321,1
"271",0,0.476222340785229,0
"274",0,0.536502156529189,1
"304",0,0.640898703204704,1
"313",1,0.688444555421747,1
"317",1,0.703591387516348,1
"332",0,0.773431134898682,1
"349",0,0.743656839200532,1
"365",1,0.637961434801876,1
"387",0,0.679496205062911,1
"405",0,0.497024690304203,0
"460",0,0.69853505246129,1
"505",0,0.684184364106841,1
"508",1,0.798700624461126,1
"516",1,0.65703357473098,1
"524",1,0.782401273568285,1
"527",1,0.66290996382488,1
"556",0,0.729926920175103,1
"567",1,0.67067657802679,1
"596",1,0.880438696865473,1
"605",0,0.791699090891187,1
"616",1,0.875954930606338,1
"634",0,0.448406184043767,0
"667",1,0.920569176856898,1
"668",0,0.630780607723677,1
"677",0,0.808074575204801,1
"693",1,0.777439933152415,1
"707",0,0.622511132168268,1
"720",0,0.53978210765748,1
"725",0,0.657117896298124,1
"736",1,0.788568116478783,1
"745",1,0.839355248144965,1
"763",0,0.56852367282242,1
"778",0,0.741087980647766,1
"780",0,0.712228173207818,1
"781",1,0.62112071675146,1
"794",0,0.5645061287973,1
"795",1,0.798294450142273,1
"802",1,0.673327839661172,1
"863",1,0.886594005329544,1
"874",0,0.549301393142576,1
"944",1,0.65921445912928,1
"965",1,0.802689852217006,1
