"","lambda.min"
"86",0.913383693910628
"90",0.939343725666052
"93",0.915681491047958
"101",0.838548583829005
"143",0.942831193747677
"155",0.700000513064732
"165",0.864811976505532
"205",0.98499984219836
"206",0.0129466260178261
"209",0.808222523916854
"210",0.849627984750308
"218",0.644914768012272
"222",0.901886214932992
"233",0.902159815118378
"248",0.695172081014199
"262",0.906688424272006
"271",0.555409668201656
"274",0.915712937707136
"304",0.673055605296832
"313",0.917513067324836
"317",0.931617244786321
"332",0.645105728820292
"349",0.907389331701519
"365",0.621856022023824
"387",0.94444986071868
"405",0.75267904474048
"460",0.778996148539184
"505",0.910716055453422
"508",0.876499773931134
"516",0.976828574816624
"524",0.754321498446796
"527",0.963210775433089
"556",0.877877442975451
"567",0.878186660765348
"596",0.908944647847209
"605",0.726704718752753
"616",0.878872095211677
"634",0.728812004436139
"667",0.940682073608819
"668",0.912207495044109
"677",0.00111153015767636
"693",0.989489791160869
"707",0.498387575444875
"720",0.234735263707382
"725",0.920887498833891
"736",0.939982003315312
"745",0.948226814352063
"763",0.606336177200647
"778",0.864751635040918
"780",0.883745528356358
"781",0.883816092973326
"794",0.29613061159881
"795",0.951739459209201
"802",0.950491853707654
"863",0.643343703183774
"874",0.660505757781511
"944",0.973080284180972
"965",0.954403959646407
