"","preds","truth"
"86",0.54507510337356,"0"
"90",0.575593277429732,"1"
"93",0.72437245727387,"1"
"101",0.548868900245539,"0"
"143",0.622141686647311,"1"
"155",0.578316819874806,"1"
"165",0.341495650648343,"0"
"205",0.700142735031162,"1"
"206",0.663531883409631,"0"
"209",0.47343026662066,"1"
"210",0.576190970487409,"1"
"218",0.556289140907633,"0"
"222",0.584862680218845,"0"
"233",0.617317498976692,"0"
"248",0.638625454640394,"0"
"262",0.692957184730558,"1"
"271",0.402900520324953,"0"
"274",0.515880925967723,"0"
"304",0.601424655225436,"0"
"313",0.560498480307714,"1"
"317",0.703711904775827,"1"
"332",0.556921756983215,"0"
"349",0.714038794378811,"0"
"365",0.5276635148197,"1"
"387",0.468508569820351,"0"
"405",0.547292489351677,"0"
"460",0.614280576670295,"0"
"505",0.643341069126256,"0"
"508",0.705953746694673,"1"
"516",0.718849410076263,"1"
"524",0.687052142851587,"1"
"527",0.678284013464887,"1"
"556",0.605602596737314,"0"
"567",0.61616177260224,"1"
"596",0.667942470515917,"1"
"605",0.614900762789479,"0"
"616",0.674988035619637,"1"
"634",0.560202925244805,"0"
"667",0.671154637477965,"1"
"668",0.682437616458244,"0"
"677",0.519085695479915,"0"
"693",0.615066082499868,"1"
"707",0.504045049262457,"0"
"720",0.511709220255326,"0"
"725",0.568140086936621,"0"
"736",0.640742149967645,"1"
"745",0.679346201595658,"1"
"763",0.580085862885449,"0"
"778",0.61672770019914,"0"
"780",0.672780905480591,"0"
"781",0.617588936825844,"1"
"794",0.548302815716668,"0"
"795",0.62353027563111,"1"
"802",0.554041505782307,"1"
"863",0.629798204560388,"1"
"874",0.599960839224619,"0"
"944",0.633964560634876,"1"
"965",0.628396071956395,"1"
