"","Truth","Predicted","PredictedClass"
"86",0,0.712308932564248,1
"90",1,0.614254965734171,1
"93",1,0.643238597753008,1
"101",0,0.363932077442808,0
"143",1,0.666583249560356,1
"155",1,0.434374130999255,0
"165",0,0.863400764439996,1
"205",1,0.747021921809805,1
"206",0,0.132529391750522,0
"209",1,0.598551529115362,1
"210",1,0.330722280061046,0
"218",0,0.276925665427728,0
"222",0,0.432545905834957,0
"233",0,0.297568868855749,0
"248",0,0.695295998909837,1
"262",1,0.641747936616304,1
"271",0,0.19026156615576,0
"274",0,0.729673463641355,1
"304",0,0.533017226032936,1
"313",1,0.591154291047562,1
"317",1,0.827431238211264,1
"332",0,0.0856635851899335,0
"349",0,0.625797321732601,1
"365",1,0.69415116599849,1
"387",0,0.448372485609434,0
"405",0,0.725169195035669,1
"460",0,0.60705287614822,1
"505",0,0.554585102185179,1
"508",1,0.75712450719703,1
"516",1,0.954556376290974,1
"524",1,0.462129803871284,0
"527",1,0.721194386136068,1
"556",0,0.509656130716595,1
"567",1,0.098825596353503,0
"596",1,0.181351443810275,0
"605",0,0.686081681778185,1
"616",1,0.795602622635557,1
"634",0,0.721314382204922,1
"667",1,0.652217001596384,1
"668",0,0.805007217203493,1
"677",0,0.295172598177946,0
"693",1,0.80823919285807,1
"707",0,0.697547264748025,1
"720",0,0.173653242589602,0
"725",0,0.313707589902205,0
"736",1,0.407188310271246,0
"745",1,0.758391926293789,1
"763",0,0.828335624196036,1
"778",0,0.808414401062421,1
"780",0,0.416350504035673,0
"781",1,0.378878007772365,0
"794",0,0.361804424877877,0
"795",1,0.462438593641132,0
"802",1,0.919751649664804,1
"863",1,0.637175857431626,1
"874",0,0.440489732095556,0
"944",1,0.733616237000622,1
"965",1,0.706927073354071,1
