"","Truth","Predicted","PredictedClass"
"86",0,0.71151708595288,1
"90",1,0.583420509188253,1
"93",1,0.649290573354334,1
"101",0,0.379730794611588,0
"143",1,0.722260286199959,1
"155",1,0.438544481034586,0
"165",0,0.872135065569664,1
"205",1,0.762034734944179,1
"206",0,0.138346884663581,0
"209",1,0.578939355083295,1
"210",1,0.329533613899591,0
"218",0,0.289527147788395,0
"222",0,0.473984478408923,0
"233",0,0.325881824241271,0
"248",0,0.719733706275512,1
"262",1,0.692459311436586,1
"271",0,0.18120927441853,0
"274",0,0.744887224262946,1
"304",0,0.546865396410403,1
"313",1,0.589783681586085,1
"317",1,0.835231678349502,1
"332",0,0.0803705641808549,0
"349",0,0.548478281946715,1
"365",1,0.711600888231002,1
"387",0,0.488112277975915,0
"405",0,0.751353112038959,1
"460",0,0.58925348258716,1
"505",0,0.577668364685788,1
"508",1,0.73516336830528,1
"516",1,0.95949237772305,1
"524",1,0.402859670014586,0
"527",1,0.700058295037034,1
"556",0,0.504619752281577,1
"567",1,0.0978418586715483,0
"596",1,0.123745158242263,0
"605",0,0.621439945816217,1
"616",1,0.726469831933927,1
"634",0,0.702439950193462,1
"667",1,0.615338728944281,1
"668",0,0.814851426493858,1
"677",0,0.293760265661958,0
"693",1,0.808039700652007,1
"707",0,0.694186891619192,1
"720",0,0.166092420514073,0
"725",0,0.325643093448501,0
"736",1,0.419235895375219,0
"745",1,0.761653333494408,1
"763",0,0.824305278370811,1
"778",0,0.816891044738031,1
"780",0,0.437848546350542,0
"781",1,0.405068860728938,0
"794",0,0.322154607591438,0
"795",1,0.328274458450989,0
"802",1,0.927415506036133,1
"863",1,0.633811349964189,1
"874",0,0.422600489683522,0
"944",1,0.714566078335363,1
"965",1,0.623522463280256,1
