"","Truth","Predicted","PredictedClass"
"86",0,0.691870456007528,1
"90",1,0.678304297870304,1
"93",1,0.684562495331884,1
"101",0,0.673505545354041,1
"143",1,0.657404160616883,1
"155",1,0.659140827389259,1
"165",0,0.682126847426783,1
"205",1,0.697842772088565,1
"206",0,0.693100959759663,1
"209",1,0.70201805855196,1
"210",1,0.708411186162731,1
"218",0,0.689649987231786,1
"222",0,0.666639293307011,1
"233",0,0.678332602098486,1
"248",0,0.672776144485391,1
"262",1,0.680506250969528,1
"271",0,0.678350501972606,1
"274",0,0.671198860355629,1
"304",0,0.671557680547331,1
"313",1,0.689804866824011,1
"317",1,0.69021133872984,1
"332",0,0.698900812114034,1
"349",0,0.720015763045831,1
"365",1,0.711124469278787,1
"387",0,0.680029401841207,1
"405",0,0.65815684857238,1
"460",0,0.67314132939676,1
"505",0,0.681684827474156,1
"508",1,0.732780211050744,1
"516",1,0.686398398855333,1
"524",1,0.71318495525812,1
"527",1,0.694527529293339,1
"556",0,0.706130461018764,1
"567",1,0.687018362339057,1
"596",1,0.734214717666182,1
"605",0,0.696279094025041,1
"616",1,0.749782865703985,1
"634",0,0.684562654833948,1
"667",1,0.697036479711606,1
"668",0,0.666284973617851,1
"677",0,0.683023214000331,1
"693",1,0.695005716081704,1
"707",0,0.695790029213529,1
"720",0,0.69078333127235,1
"725",0,0.690529230887505,1
"736",1,0.69945176647763,1
"745",1,0.688143272711382,1
"763",0,0.688796311358109,1
"778",0,0.682311777751258,1
"780",0,0.671578560997233,1
"781",1,0.659572543868653,1
"794",0,0.705949718951237,1
"795",1,0.743004500158147,1
"802",1,0.672671227526914,1
"863",1,0.704636548618528,1
"874",0,0.67441367296315,1
"944",1,0.680885130098254,1
"965",1,0.715675916204339,1
