"","Truth","Predicted","PredictedClass"
"86",0,0.980775882702899,1
"90",1,0.960427075442078,1
"93",1,0.978925768037613,1
"101",0,0.815707625139615,1
"143",1,0.974082496615051,1
"155",1,0.945803805222465,1
"165",0,0.763991413012797,1
"205",1,0.963912186921681,1
"206",0,0.598474049152065,1
"209",1,0.939378219335546,1
"210",1,0.88882209709379,1
"218",0,0.881822745999752,1
"222",0,0.941228219096284,1
"233",0,0.770844479853715,1
"248",0,0.947369080379825,1
"262",1,0.970024559613578,1
"271",0,0.846176061239457,1
"274",0,0.890211785936392,1
"304",0,0.759987736821608,1
"313",1,0.949024348374584,1
"317",1,0.946927801694515,1
"332",0,0.544249473040778,1
"349",0,0.987848877182914,1
"365",1,0.980478812784088,1
"387",0,0.723840471629356,1
"405",0,0.693609177630446,1
"460",0,0.877867318035428,1
"505",0,0.78081977758784,1
"508",1,0.990906196786299,1
"516",1,0.993177758707245,1
"524",1,0.861622889281343,1
"527",1,0.948864915407529,1
"556",0,0.674107010532379,1
"567",1,0.893144564532522,1
"596",1,0.979451826101725,1
"605",0,0.989123771578157,1
"616",1,0.989061041614994,1
"634",0,0.866811367682916,1
"667",1,0.982110455022812,1
"668",0,0.963231029792685,1
"677",0,0.437501540015381,0
"693",1,0.852810383485434,1
"707",0,0.760714867891702,1
"720",0,0.876265009472682,1
"725",0,0.904353220974883,1
"736",1,0.989663237324491,1
"745",1,0.944250685822858,1
"763",0,0.876298817212592,1
"778",0,0.984044176214944,1
"780",0,0.909242687772084,1
"781",1,0.820963411068543,1
"794",0,0.716709610689356,1
"795",1,0.938534645551495,1
"802",1,0.96767608311814,1
"863",1,0.937750426867917,1
"874",0,0.828791717086389,1
"944",1,0.952643122944263,1
"965",1,0.974523844492029,1
