"","Truth","Predicted","PredictedClass"
"86",0,0.805395940126805,1
"90",1,0.821798541047314,1
"93",1,0.801071190035249,1
"101",0,0.743540241216385,1
"143",1,0.788570884394188,1
"155",1,0.791646101204519,1
"165",0,0.777461689132121,1
"205",1,0.918840498521735,1
"206",0,0.564312038220685,1
"209",1,0.822395713085094,1
"210",1,0.779944250934608,1
"218",0,0.806217618365479,1
"222",0,0.776290860063488,1
"233",0,0.685010844966308,1
"248",0,0.808978061344939,1
"262",1,0.795965349737738,1
"271",0,0.648911745206707,1
"274",0,0.714684050435389,1
"304",0,0.604437886519825,1
"313",1,0.857829566157439,1
"317",1,0.824257645841543,1
"332",0,0.448126965374908,0
"349",0,0.942031314156594,1
"365",1,0.822949936175879,1
"387",0,0.72503413539884,1
"405",0,0.67543626826036,1
"460",0,0.807961701142061,1
"505",0,0.693564155533394,1
"508",1,0.909759869485288,1
"516",1,0.902189144918534,1
"524",1,0.707660579889746,1
"527",1,0.881608444990152,1
"556",0,0.7959986372266,1
"567",1,0.784024817794986,1
"596",1,0.904517285711626,1
"605",0,0.908743779588961,1
"616",1,0.926750675173029,1
"634",0,0.786915700002603,1
"667",1,0.814942455750331,1
"668",0,0.787829992504113,1
"677",0,0.472486115149016,0
"693",1,0.874593465816661,1
"707",0,0.790505531296293,1
"720",0,0.603813708335887,1
"725",0,0.798063497643016,1
"736",1,0.80771413400143,1
"745",1,0.88025978805974,1
"763",0,0.705592324047018,1
"778",0,0.9084628578194,1
"780",0,0.851034110340621,1
"781",1,0.687383334876692,1
"794",0,0.783315991800184,1
"795",1,0.894284488442935,1
"802",1,0.802469213699631,1
"863",1,0.876607566979871,1
"874",0,0.628024653858764,1
"944",1,0.846864450585414,1
"965",1,0.878475809199888,1
