"","Truth","Predicted","PredictedClass"
"86",0,0.454046789323982,0
"90",1,0.532486256212164,1
"93",1,0.770995896526711,1
"101",0,0.239529083681015,0
"143",1,0.529762702082048,1
"155",1,0.413438003679668,0
"165",0,0.630162401607197,1
"205",1,0.731275646892845,1
"206",0,0.275236615351169,0
"209",1,0.643117742682771,1
"210",1,0.386472814161351,0
"218",0,0.192711496761566,0
"222",0,0.443915597774864,0
"233",0,0.286425291967049,0
"248",0,0.512922725169252,1
"262",1,0.630362732110466,1
"271",0,0.290263903489278,0
"274",0,0.287700050958841,0
"304",0,0.414043817054345,0
"313",1,0.582915706958427,1
"317",1,0.71821874375532,1
"332",0,0.184241986743022,0
"349",0,0.730839168040114,1
"365",1,0.647385666187395,1
"387",0,0.392592875341373,0
"405",0,0.675640189180863,1
"460",0,0.462122025099081,0
"505",0,0.485965284915317,0
"508",1,0.637440025331722,1
"516",1,0.942009364428151,1
"524",1,0.402299495127746,0
"527",1,0.717999102422377,1
"556",0,0.627443192135255,1
"567",1,0.0275367513483237,0
"596",1,0.20332442007388,0
"605",0,0.704857011007189,1
"616",1,0.700667698272656,1
"634",0,0.69057466233441,1
"667",1,0.612325865345879,1
"668",0,0.735824390610164,1
"677",0,0.334710694796475,0
"693",1,0.763366341791446,1
"707",0,0.593192119390588,1
"720",0,0.162701007426943,0
"725",0,0.260386654045031,0
"736",1,0.447116515333988,0
"745",1,0.762779307190162,1
"763",0,0.585340139151176,1
"778",0,0.752987396099512,1
"780",0,0.378561578834368,0
"781",1,0.222412355969348,0
"794",0,0.345278733535428,0
"795",1,0.305795299143307,0
"802",1,0.882810216701352,1
"863",1,0.659937641312588,1
"874",0,0.361146461924737,0
"944",1,0.480776748167903,0
"965",1,0.602749853435788,1
