"","Truth","Predicted","PredictedClass"
"86",0,0.702194939426704,1
"90",1,0.806506475692458,1
"93",1,0.795566832348267,1
"101",0,0.548870229197265,1
"143",1,0.820073306492864,1
"155",1,0.673472323087307,1
"165",0,0.766516384147267,1
"205",1,0.906375242806846,1
"206",0,0.770847518006941,1
"209",1,0.802060469581551,1
"210",1,0.676955608071871,1
"218",0,0.468404984886316,0
"222",0,0.710770382849039,1
"233",0,0.653562447467593,1
"248",0,0.869554008611319,1
"262",1,0.883425706096701,1
"271",0,0.477227906997811,0
"274",0,0.690187638746473,1
"304",0,0.812724327964215,1
"313",1,0.69125142674641,1
"317",1,0.903999983992958,1
"332",0,0.55781328392189,1
"349",0,0.9117826062443,1
"365",1,0.771666426138064,1
"387",0,0.652671879440452,1
"405",0,0.783303665133988,1
"460",0,0.692042669335601,1
"505",0,0.604643573123745,1
"508",1,0.765399307407218,1
"516",1,0.961657840679909,1
"524",1,0.774223758663278,1
"527",1,0.848250675525064,1
"556",0,0.768855422682273,1
"567",1,0.186534158010105,0
"596",1,0.455205657186433,0
"605",0,0.768165838546919,1
"616",1,0.877208501123389,1
"634",0,0.803082513816271,1
"667",1,0.79155492456278,1
"668",0,0.852917032414949,1
"677",0,0.641408857845072,1
"693",1,0.892009753103956,1
"707",0,0.760079068581584,1
"720",0,0.409617487540723,0
"725",0,0.566654051958074,1
"736",1,0.644568126723539,1
"745",1,0.881316274774079,1
"763",0,0.753494124511471,1
"778",0,0.904966313508056,1
"780",0,0.708692923530459,1
"781",1,0.633458443491029,1
"794",0,0.68630093157923,1
"795",1,0.472353416982606,0
"802",1,0.884109507985227,1
"863",1,0.840193305581764,1
"874",0,0.546834963987414,1
"944",1,0.843785300761723,1
"965",1,0.607958778738124,1
