"","Truth","Predicted","PredictedClass"
"86",0,0.783106890027024,1
"90",1,0.814620258365446,1
"93",1,0.799476843286747,1
"101",0,0.695243113727879,1
"143",1,0.822924189942818,1
"155",1,0.734952657318931,1
"165",0,0.72109210294338,1
"205",1,0.915938639959326,1
"206",0,0.666454978655404,1
"209",1,0.783730924480606,1
"210",1,0.742499527261585,1
"218",0,0.754493802415742,1
"222",0,0.733472572017054,1
"233",0,0.715897644352883,1
"248",0,0.767030770431778,1
"262",1,0.801232576386167,1
"271",0,0.632191129633745,1
"274",0,0.68866947729099,1
"304",0,0.637640467944219,1
"313",1,0.883593567600991,1
"317",1,0.785759381495095,1
"332",0,0.529059540123028,1
"349",0,0.943257203771565,1
"365",1,0.837131098536668,1
"387",0,0.729025969231901,1
"405",0,0.627575918924734,1
"460",0,0.698012704801088,1
"505",0,0.723365947395656,1
"508",1,0.872055341529319,1
"516",1,0.896851637329354,1
"524",1,0.547520357781737,1
"527",1,0.913886401031748,1
"556",0,0.729020222283206,1
"567",1,0.711027957300184,1
"596",1,0.892542171135474,1
"605",0,0.86387588242434,1
"616",1,0.938205625509426,1
"634",0,0.725906935571066,1
"667",1,0.809583727898047,1
"668",0,0.692864394224208,1
"677",0,0.46453075539474,0
"693",1,0.854389333875369,1
"707",0,0.690641264167139,1
"720",0,0.678036273543262,1
"725",0,0.82029032539218,1
"736",1,0.791334712407352,1
"745",1,0.877627733544918,1
"763",0,0.581850644140042,1
"778",0,0.878392675219903,1
"780",0,0.874642590838638,1
"781",1,0.598647934031852,1
"794",0,0.798366635505935,1
"795",1,0.734979304355663,1
"802",1,0.666353586672789,1
"863",1,0.87981595167633,1
"874",0,0.632335155550957,1
"944",1,0.760463773129782,1
"965",1,0.828295878324092,1
