"","Truth","Predicted","PredictedClass"
"86",0,0.851063023959979,1
"90",1,0.833016096215741,1
"93",1,0.78492299829543,1
"101",0,0.792154614637643,1
"143",1,0.841494654332336,1
"155",1,0.816018373533739,1
"165",0,0.823325914830468,1
"205",1,0.927435624158825,1
"206",0,0.571497155610773,1
"209",1,0.824730183536889,1
"210",1,0.824471631269637,1
"218",0,0.808552111036891,1
"222",0,0.784989469227696,1
"233",0,0.717240367006073,1
"248",0,0.87465009076872,1
"262",1,0.878517923582363,1
"271",0,0.684571652435902,1
"274",0,0.813915940466427,1
"304",0,0.760126384312335,1
"313",1,0.84863616248935,1
"317",1,0.872400974914938,1
"332",0,0.459960620872986,0
"349",0,0.907254395754051,1
"365",1,0.828883439142367,1
"387",0,0.735093991686479,1
"405",0,0.787058171085548,1
"460",0,0.820911221413288,1
"505",0,0.701864572398868,1
"508",1,0.866356953279398,1
"516",1,0.928823265988197,1
"524",1,0.721621872092101,1
"527",1,0.878963354234445,1
"556",0,0.799156421303691,1
"567",1,0.777456825303624,1
"596",1,0.864014908100042,1
"605",0,0.871748081536663,1
"616",1,0.871368849861591,1
"634",0,0.819125620097794,1
"667",1,0.745978593435902,1
"668",0,0.854602748812808,1
"677",0,0.479204839449752,0
"693",1,0.884599031747846,1
"707",0,0.808830246012177,1
"720",0,0.615945259671415,1
"725",0,0.817619032190876,1
"736",1,0.779826925298882,1
"745",1,0.881579281879228,1
"763",0,0.786290878089478,1
"778",0,0.906661271351834,1
"780",0,0.876376322899379,1
"781",1,0.778387656068364,1
"794",0,0.738421830404466,1
"795",1,0.834641979035533,1
"802",1,0.834080813384618,1
"863",1,0.866994398625667,1
"874",0,0.586488428048504,1
"944",1,0.904733053564276,1
"965",1,0.874416110692499,1
