"","Truth","Predicted","PredictedClass"
"86","0",0.425058844679023,0
"90","1",0.492158680106872,0
"93","1",0.778202554158948,1
"101","0",0.236474827700504,0
"143","1",0.576332759044283,1
"155","1",0.432068720536079,0
"165","0",0.634067330434845,1
"205","1",0.727459579466852,1
"206","0",0.261214792447955,0
"209","1",0.619854889226395,1
"210","1",0.367968075979711,0
"218","0",0.208384283152846,0
"222","0",0.474831809441227,0
"233","0",0.305117045881539,0
"248","0",0.510533827768211,1
"262","1",0.667146341177539,1
"271","0",0.30255726204614,0
"274","0",0.302873306250486,0
"304","0",0.407559788105459,0
"313","1",0.584470606446552,1
"317","1",0.693939814369445,1
"332","0",0.165507792653133,0
"349","0",0.656742582907903,1
"365","1",0.656454611667198,1
"387","0",0.429440419081676,0
"405","0",0.701195253013302,1
"460","0",0.441029044867036,0
"505","0",0.487092864374258,0
"508","1",0.602405119101524,1
"516","1",0.942174436700983,1
"524","1",0.310047566995143,0
"527","1",0.685419426636895,1
"556","0",0.611127534959253,1
"567","1",0.0250257754632581,0
"596","1",0.132053939237212,0
"605","0",0.622868629740479,1
"616","1",0.567513366354376,1
"634","0",0.659449018532822,1
"667","1",0.535174796510386,1
"668","0",0.737738678830679,1
"677","0",0.293614807902228,0
"693","1",0.736456564117271,1
"707","0",0.571726465174106,1
"720","0",0.156522659515431,0
"725","0",0.256209607672035,0
"736","1",0.45450842364574,0
"745","1",0.750082065470027,1
"763","0",0.572770691129399,1
"778","0",0.73868637619841,1
"780","0",0.400514997151057,0
"781","1",0.20765582084063,0
"794","0",0.273557739234681,0
"795","1",0.179294403714619,0
"802","1",0.885643394249163,1
"863","1",0.636998573907048,1
"874","0",0.354574958490375,0
"944","1",0.424196077757476,0
"965","1",0.504982638558969,1
