"","Truth","Predicted","PredictedClass"
"86",0,0.694797653193418,1
"90",1,0.682681369948314,1
"93",1,0.695428822258437,1
"101",0,0.675925360150189,1
"143",1,0.667059828669391,1
"155",1,0.667446253320546,1
"165",0,0.685740204193606,1
"205",1,0.697580537663336,1
"206",0,0.688850901591611,1
"209",1,0.702394182953085,1
"210",1,0.700830334024402,1
"218",0,0.693926415670049,1
"222",0,0.678988671613497,1
"233",0,0.68155340616602,1
"248",0,0.663951425168943,1
"262",1,0.672853997319816,1
"271",0,0.680716595197991,1
"274",0,0.672142988329034,1
"304",0,0.647356081238597,1
"313",1,0.701579708198196,1
"317",1,0.686868206731869,1
"332",0,0.6850866483472,1
"349",0,0.729982483569831,1
"365",1,0.717466366332167,1
"387",0,0.681752687533352,1
"405",0,0.656902915188959,1
"460",0,0.689915818308667,1
"505",0,0.689821838276123,1
"508",1,0.740700315937222,1
"516",1,0.68702687806125,1
"524",1,0.703749429065078,1
"527",1,0.701296314175164,1
"556",0,0.710579412076691,1
"567",1,0.698737663174515,1
"596",1,0.73900438166241,1
"605",0,0.710679508634963,1
"616",1,0.757770472968925,1
"634",0,0.694987043512353,1
"667",1,0.707059154170288,1
"668",0,0.667349457753774,1
"677",0,0.683889278513342,1
"693",1,0.691698119378344,1
"707",0,0.690160377822596,1
"720",0,0.695207699663564,1
"725",0,0.695345170633778,1
"736",1,0.713936615195427,1
"745",1,0.692944159368345,1
"763",0,0.68981384573626,1
"778",0,0.689401120852559,1
"780",0,0.676711643585601,1
"781",1,0.665873814893292,1
"794",0,0.709917556937679,1
"795",1,0.742177902368327,1
"802",1,0.676360329741552,1
"863",1,0.702911194437617,1
"874",0,0.681582355971018,1
"944",1,0.668093864208419,1
"965",1,0.711711781648551,1
