"","Truth","Predicted","PredictedClass"
"86","0",0.696626245153334,1
"90","1",0.682287288572444,1
"93","1",0.689593372178399,1
"101","0",0.679640195150103,1
"143","1",0.663134862399245,1
"155","1",0.66301484939366,1
"165","0",0.685753628276035,1
"205","1",0.699553045976358,1
"206","0",0.700088657761856,1
"209","1",0.705100154525395,1
"210","1",0.712075157424072,1
"218","0",0.690889511361956,1
"222","0",0.671908936500346,1
"233","0",0.681281688710374,1
"248","0",0.677849592131289,1
"262","1",0.685116777012543,1
"271","0",0.67873966613407,1
"274","0",0.67287256579222,1
"304","0",0.677631561097379,1
"313","1",0.690570040425362,1
"317","1",0.696017834724433,1
"332","0",0.700663646546501,1
"349","0",0.721085842611988,1
"365","1",0.713927346550245,1
"387","0",0.681199145754742,1
"405","0",0.660271507776776,1
"460","0",0.675162455559715,1
"505","0",0.686037970215882,1
"508","1",0.737265818845601,1
"516","1",0.689444464419802,1
"524","1",0.719952305633385,1
"527","1",0.70295814803776,1
"556","0",0.708276243458898,1
"567","1",0.69051205350762,1
"596","1",0.738167618777195,1
"605","0",0.703966138623724,1
"616","1",0.778726593004612,1
"634","0",0.68863878416184,1
"667","1",0.706818165798089,1
"668","0",0.668437728385984,1
"677","0",0.690212510501901,1
"693","1",0.699555042697384,1
"707","0",0.699642306061627,1
"720","0",0.692550602838528,1
"725","0",0.691034950814772,1
"736","1",0.704185452491411,1
"745","1",0.691942582918733,1
"763","0",0.691375512053571,1
"778","0",0.688757386561317,1
"780","0",0.672852430138253,1
"781","1",0.673677985655843,1
"794","0",0.714291364215831,1
"795","1",0.755207954986276,1
"802","1",0.674640490075531,1
"863","1",0.707294909340715,1
"874","0",0.676709165062682,1
"944","1",0.685703363042656,1
"965","1",0.716423025075615,1
