"","Truth","Predicted","Predicted_class"
"86","0",0.683286431388308,1
"90","1",0.910474078376413,1
"93","1",0.900896930914349,1
"101","0",0.84933104437365,1
"143","1",0.875322022744569,1
"155","1",0.884469487631699,1
"165","0",0.874817360436266,1
"205","1",0.957753895164823,1
"206","0",0.787825691599575,1
"209","1",0.878996577312605,1
"210","1",0.860363632799247,1
"218","0",0.900952708098247,1
"222","0",0.822556552029965,1
"233","0",0.848688749256993,1
"248","0",0.880789733741796,1
"262","1",0.685329128635116,1
"271","0",0.851274018678091,1
"274","0",0.827938504015991,1
"304","0",0.844825168245541,1
"313","1",0.945600935727086,1
"317","1",0.856395159227774,1
"332","0",0.840209627890371,1
"349","0",0.942917167591987,1
"365","1",0.898621254199891,1
"387","0",0.611325839385065,1
"405","0",0.807517493926103,1
"460","0",0.82214033181825,1
"505","0",0.853189777732465,1
"508","1",0.944914410448616,1
"516","1",0.944324553832883,1
"524","1",0.945886882688503,1
"527","1",0.942101164012575,1
"556","0",0.885015559665883,1
"567","1",0.901917996323319,1
"596","1",0.96787249394848,1
"605","0",0.94519123582501,1
"616","1",0.958946983470806,1
"634","0",0.921775176983549,1
"667","1",0.896839412278377,1
"668","0",0.935806661845977,1
"677","0",0.7817882757153,1
"693","1",0.928617690052873,1
"707","0",0.885554137386052,1
"720","0",0.798743856380845,1
"725","0",0.860374506986512,1
"736","1",0.915380104507237,1
"745","1",0.924649437955423,1
"763","0",0.909118666414027,1
"778","0",0.955876055506996,1
"780","0",0.933865940405273,1
"781","1",0.887051531903958,1
"794","0",0.932587559254593,1
"795","1",0.948877759930413,1
"802","1",0.920320570444842,1
"863","1",0.920877530878219,1
"874","0",0.764984121321284,1
"944","1",0.92982284170935,1
"965","1",0.931984243628077,1
