"","Truth","Predicted","Predicted_class"
"86","0",0.806258681198727,1
"90","1",0.675157556146332,1
"93","1",0.623907781510537,1
"101","0",0.687653104591594,1
"143","1",0.549532206092535,1
"155","1",0.698501404552251,1
"165","0",0.85179412718193,1
"205","1",0.596192145900195,1
"206","0",0.330784142462144,0
"209","1",0.501540379232591,1
"210","1",0.506400065729542,1
"218","0",0.50878617932245,1
"222","0",0.495118528040287,0
"233","0",0.49892992733711,0
"248","0",0.726253998952489,1
"262","1",0.72791983716422,1
"271","0",0.484105235826616,0
"274","0",0.834561848933988,1
"304","0",0.712839844800637,1
"313","1",0.631596693167475,1
"317","1",0.796212763535937,1
"332","0",0.284952707910377,0
"349","0",0.601224138848904,1
"365","1",0.575281283657263,1
"387","0",0.375125610819942,0
"405","0",0.809380231068967,1
"460","0",0.733985112040262,1
"505","0",0.577710667988315,1
"508","1",0.70659662777087,1
"516","1",0.82363631167548,1
"524","1",0.659430164353258,1
"527","1",0.639734301140537,1
"556","0",0.528532087376672,1
"567","1",0.478423630154793,0
"596","1",0.466437335456583,0
"605","0",0.675916763019088,1
"616","1",0.67773508513377,1
"634","0",0.789519341268975,1
"667","1",0.560189309391728,1
"668","0",0.825542256666074,1
"677","0",0.428711728556069,0
"693","1",0.603558953963748,1
"707","0",0.590100879677934,1
"720","0",0.409418582054704,0
"725","0",0.535287413384306,1
"736","1",0.61489767167014,1
"745","1",0.661835184280306,1
"763","0",0.865490579156941,1
"778","0",0.600776457381932,1
"780","0",0.578631778864828,1
"781","1",0.72735529102709,1
"794","0",0.476041810954822,0
"795","1",0.676346139452163,1
"802","1",0.731036879985751,1
"863","1",0.539269317177013,1
"874","0",0.583234729704712,1
"944","1",0.862358986479108,1
"965","1",0.79097785781627,1
