"","Truth","Predicted"
"86","0",0.721225774995181
"90","1",0.777138776981487
"93","1",0.798258746753174
"101","0",0.719837936206347
"143","1",0.852226276497398
"155","1",0.755375386565228
"165","0",0.756344588988018
"205","1",0.852511302388801
"206","0",0.656685851492351
"209","1",0.681867131240443
"210","1",0.698739193277277
"218","0",0.756641485051841
"222","0",0.707598453459389
"233","0",0.695292310775646
"248","0",0.744053583309267
"262","1",0.790039430151317
"271","0",0.763708844544874
"274","0",0.702539822817704
"304","0",0.686333000718677
"313","1",0.837267602522878
"317","1",0.74837685624088
"332","0",0.654487141135386
"349","0",0.788111430101457
"365","1",0.772701647353921
"387","0",0.674557378678141
"405","0",0.65542757017923
"460","0",0.656706120033159
"505","0",0.668957289062731
"508","1",0.834262178408531
"516","1",0.862967733788567
"524","1",0.751995295050995
"527","1",0.801200072201282
"556","0",0.716358098313466
"567","1",0.719897747997286
"596","1",0.799078914626958
"605","0",0.786679196867097
"616","1",0.869985339588675
"634","0",0.800334356507863
"667","1",0.706297858216328
"668","0",0.828465357834076
"677","0",0.669187638341826
"693","1",0.750773872092087
"707","0",0.741431695883565
"720","0",0.695229908565099
"725","0",0.734136551932844
"736","1",0.74050503294827
"745","1",0.854426522490444
"763","0",0.802563405998253
"778","0",0.840553585115789
"780","0",0.813453968262512
"781","1",0.743930373930375
"794","0",0.683232078002307
"795","1",0.740264633164474
"802","1",0.817848413469022
"863","1",0.790853286150635
"874","0",0.692836669001451
"944","1",0.807195512084935
"965","1",0.769664975527414
