"","Truth","Predicted","Predicted_class"
"86","0",0.788915192963703,1
"90","1",0.929540201205572,1
"93","1",0.94607658984893,1
"101","0",0.835271244782912,1
"143","1",0.931338552108292,1
"155","1",0.933886704634749,1
"165","0",0.965894571209748,1
"205","1",0.939863036857232,1
"206","0",0.635072616734482,1
"209","1",0.700317805928207,1
"210","1",0.798142601657318,1
"218","0",0.855735726675982,1
"222","0",0.843745142548364,1
"233","0",0.806573323235816,1
"248","0",0.926311316694867,1
"262","1",0.890149959664652,1
"271","0",0.833651384078335,1
"274","0",0.895650794846909,1
"304","0",0.930404436554117,1
"313","1",0.952944415898858,1
"317","1",0.818817373400987,1
"332","0",0.809732057242688,1
"349","0",0.672631978185414,1
"365","1",0.913081640141326,1
"387","0",0.585646973742695,1
"405","0",0.946781961577085,1
"460","0",0.92793006111964,1
"505","0",0.872328775781859,1
"508","1",0.911896852610522,1
"516","1",0.982835924429339,1
"524","1",0.968383130947706,1
"527","1",0.950682619780977,1
"556","0",0.773998204721528,1
"567","1",0.599932453647,1
"596","1",0.8106714496283,1
"605","0",0.95973748959611,1
"616","1",0.928476263706636,1
"634","0",0.968742060092685,1
"667","1",0.899515856382981,1
"668","0",0.964312641725003,1
"677","0",0.832488460260302,1
"693","1",0.865387891748934,1
"707","0",0.859574244094391,1
"720","0",0.732321663827459,1
"725","0",0.794331098576924,1
"736","1",0.90194904039127,1
"745","1",0.922504234489763,1
"763","0",0.96437422338361,1
"778","0",0.959556736018229,1
"780","0",0.964799749764286,1
"781","1",0.878233771729541,1
"794","0",0.647656679402613,1
"795","1",0.90208344885072,1
"802","1",0.963918970914193,1
"863","1",0.908448406543522,1
"874","0",0.782451333017953,1
"944","1",0.95973398263524,1
"965","1",0.941367340930183,1
