"","truth","pred_test"
"86","0",0.771820293358418
"90","1",0.692313405890585
"93","1",0.76860518249319
"101","0",0.696009559694413
"143","1",0.760781643803193
"155","1",0.721743438516148
"165","0",0.741025662445521
"205","1",0.810505992928754
"206","0",0.841056458894768
"209","1",0.867391233723361
"210","1",0.828813941488829
"218","0",0.78290435148259
"222","0",0.669672769862118
"233","0",0.746830258078616
"248","0",0.74434805827053
"262","1",0.767756055308087
"271","0",0.769895372420643
"274","0",0.703973092760288
"304","0",0.701743517817966
"313","1",0.732263119374122
"317","1",0.766440397337894
"332","0",0.776649213890106
"349","0",0.819849184162742
"365","1",0.834769864434769
"387","0",0.7625141140674
"405","0",0.738785828639334
"460","0",0.724676320066394
"505","0",0.761721469552985
"508","1",0.808706153914376
"516","1",0.778139295402073
"524","1",0.854673559911662
"527","1",0.740464991205916
"556","0",0.795122519808776
"567","1",0.666631278461222
"596","1",0.877994471532414
"605","0",0.790012585565534
"616","1",0.870797035278341
"634","0",0.680630848626778
"667","1",0.752100643205775
"668","0",0.724504217244016
"677","0",0.708529861580571
"693","1",0.788620253759137
"707","0",0.748022897753442
"720","0",0.768686677718466
"725","0",0.738607697332583
"736","1",0.765605133062337
"745","1",0.767048392891989
"763","0",0.792640295960522
"778","0",0.773204245029288
"780","0",0.722010556872739
"781","1",0.705077282593726
"794","0",0.754205889361533
"795","1",0.788597158025734
"802","1",0.705567745365958
"863","1",0.835185258263103
"874","0",0.678247954410925
"944","1",0.729046253872966
"965","1",0.767854082040415
