"","Truth","Predicted","Predicted_class"
"86","0",0.773854561283727,1
"90","1",0.752577214172078,1
"93","1",0.854345254992742,1
"101","0",0.797366889073937,1
"143","1",0.740997238523228,1
"155","1",0.751055003902778,1
"165","0",0.812646974553222,1
"205","1",0.857269515879097,1
"206","0",0.902977924072743,1
"209","1",0.921454474731631,1
"210","1",0.900973894604385,1
"218","0",0.83618016543225,1
"222","0",0.728992876032428,1
"233","0",0.794398562704474,1
"248","0",0.808698310641938,1
"262","1",0.799710831858872,1
"271","0",0.805930305127425,1
"274","0",0.781862247198033,1
"304","0",0.805441936137488,1
"313","1",0.810937335881537,1
"317","1",0.833975303061763,1
"332","0",0.910425878127771,1
"349","0",0.923631725284055,1
"365","1",0.875232462288491,1
"387","0",0.705168024521819,1
"405","0",0.787409530901095,1
"460","0",0.807641601444713,1
"505","0",0.796736150651913,1
"508","1",0.873017517884515,1
"516","1",0.83997951445896,1
"524","1",0.923278669502198,1
"527","1",0.7823148748131,1
"556","0",0.857091553619991,1
"567","1",0.810725954504114,1
"596","1",0.96071014521784,1
"605","0",0.868705756119326,1
"616","1",0.87311740879618,1
"634","0",0.742135319802892,1
"667","1",0.852528277168107,1
"668","0",0.789995221318542,1
"677","0",0.845703848214611,1
"693","1",0.878634964954451,1
"707","0",0.820396408109416,1
"720","0",0.772223956187337,1
"725","0",0.752307425450568,1
"736","1",0.859959235936895,1
"745","1",0.833260710371547,1
"763","0",0.838946743852731,1
"778","0",0.820185565302232,1
"780","0",0.775259089935762,1
"781","1",0.776869902226921,1
"794","0",0.880193639023236,1
"795","1",0.91613158171219,1
"802","1",0.820967617062843,1
"863","1",0.900480327217531,1
"874","0",0.639361927661199,1
"944","1",0.812249037730191,1
"965","1",0.867511839296359,1
