"","truth","pred_test"
"87","1",0.875287388435581
"88","1",0.93063096500888
"89","1",0.517643703459904
"92","1",0.848180875128671
"96","1",0.83271404732333
"97","1",0.732228910897002
"103","0",0.457423273606525
"152","0",0.520566642582358
"154","0",0.526050775890122
"167","1",0.895525790715459
"169","1",0.756642736921519
"171","0",0.464133114317268
"173","1",0.885928390713763
"204","1",0.760718193407173
"208","1",0.698608977200394
"211","0",0.426673676856127
"213","1",0.779064826417255
"214","1",0.814574025530458
"215","0",0.403583539870252
"223","1",0.782392065237729
"224","1",0.820244546420288
"229","1",0.821515657539423
"230","1",0.775573765731194
"231","1",0.934224538929104
"232","1",0.951479664196656
"236","1",0.84919498417817
"241","1",0.849855969403085
"245","0",0.900724778056422
"246","0",0.637720045123537
"250","1",0.790623473319215
"251","0",0.554473852387822
"255","0",0.267825107741962
"257","1",0.735669783723661
"258","0",0.326987241702759
"259","1",0.637878681199765
"260","0",0.446002783235222
"264","1",0.760618672971636
"270","1",0.820814126950855
"276","1",0.86607694851141
"288","1",0.859428565761821
"293","0",0.281121055972183
"295","1",0.77645852007067
"297","1",0.872092547493776
"307","1",0.850575699097058
"322","1",0.445025488149571
"334","1",0.711089027318694
"342","1",0.804509914892343
"347","0",0.353818247689006
"358","1",0.860450477953713
"360","1",0.825116300170237
"364","1",0.881254836108671
"373","0",0.460344085408678
"380","1",0.681668808755147
"390","1",0.752099011124007
"406","1",0.69512067538169
"409","0",0.787760463996622
"413","1",0.901398586972464
"428","1",0.829330032072187
"437","0",0.529892761120312
"440","1",0.755898432156881
"442","1",0.894753126602871
"446","1",0.85775449511016
"465","1",0.937543916782666
"501","0",0.560198640279361
"520","1",0.637002224127612
"525","1",0.852821798210144
"528","1",0.738144412597503
"551","1",0.905642567160991
"586","1",0.78332210966902
"587","1",0.928015018972138
"591","0",0.581215755149928
"603","1",0.685269719522243
"608","1",0.580309352565704
"621","1",0.762809103089131
"625","1",0.461392248867008
"628","0",0.542849645151692
"633","0",0.230137946797384
"674","0",0.357420225026684
"679","0",0.667979253548913
"702","1",0.662804745632908
"710","0",0.297568911505828
"711","1",0.796916052144398
"715","0",0.690804241564383
"717","1",0.868051628337327
"719","1",0.71450000104896
"723","1",0.834899639219183
"732","1",0.707369932660525
"737","0",0.324958343437931
"739","0",0.360997442329184
"740","1",0.575984226880141
"747","0",0.760863483682657
"750","0",0.218558542990465
"761","1",0.804537464327264
"767","1",0.785812451549283
"768","1",0.858536354664786
"770","1",0.600205754111235
"771","1",0.885525110380342
"774","0",0.317915996889366
"776","1",0.818055538063365
"777","0",0.612601045397753
"791","1",0.539154472550587
"801","1",0.715983665104649
"804","1",0.876930561912878
"805","1",0.762999484031427
"867","0",0.464803568050333
"868","1",0.759572676959557
"872","0",0.561625178223836
"880","0",0.501704984671125
"894","0",0.370663538762134
"940","1",0.678833705380177
"941","1",0.734813159072408
