"","Truth","Predicted","PredictedClass"
"86",0,0.975990012790174,1
"90",1,0.92748001710234,1
"93",1,0.895348377925176,1
"101",0,0.932703176820422,1
"143",1,0.962111460136194,1
"155",1,0.969613949901874,1
"165",0,0.94552954536756,1
"205",1,0.965156369437798,1
"206",0,0.912247513788562,1
"209",1,0.936248084748277,1
"210",1,0.824961530802491,1
"218",0,0.901634093868093,1
"222",0,0.959260190465209,1
"233",0,0.852207172133369,1
"248",0,0.969878071158472,1
"262",1,0.968580474879536,1
"271",0,0.943323617090462,1
"274",0,0.951513475099682,1
"304",0,0.953033449670503,1
"313",1,0.894890193487511,1
"317",1,0.902774154604728,1
"332",0,0.864965565063191,1
"349",0,0.981536358871914,1
"365",1,0.861531394014739,1
"387",0,0.970739489666006,1
"405",0,0.911540757857955,1
"460",0,0.933602014284226,1
"505",0,0.945116088308869,1
"508",1,0.981440996280191,1
"516",1,0.989952727351714,1
"524",1,0.985388472808274,1
"527",1,0.870113720721912,1
"556",0,0.825170834789239,1
"567",1,0.847456612663287,1
"596",1,0.924744555019954,1
"605",0,0.777223247752312,1
"616",1,0.940808759880407,1
"634",0,0.857204663720142,1
"667",1,0.964463993345369,1
"668",0,0.92593937706328,1
"677",0,0.954123134841109,1
"693",1,0.971821664579208,1
"707",0,0.957668860303421,1
"720",0,0.852202938645234,1
"725",0,0.889537623388894,1
"736",1,0.930797805351976,1
"745",1,0.935117107543212,1
"763",0,0.989492839488268,1
"778",0,0.948199583161988,1
"780",0,0.924094018790941,1
"781",1,0.961741594512363,1
"794",0,0.914243055183123,1
"795",1,0.847707862559911,1
"802",1,0.916708913811292,1
"863",1,0.934337180305539,1
"874",0,0.803921470937812,1
"944",1,0.924405152590603,1
"965",1,0.954748655655215,1
