"","Truth","Predicted","PredictedClass"
"86",0,0.976606668174364,1
"90",1,0.933051515501236,1
"93",1,0.902320007888512,1
"101",0,0.936409565318966,1
"143",1,0.96908311696222,1
"155",1,0.974882588179742,1
"165",0,0.9614655965179,1
"205",1,0.966044609994162,1
"206",0,0.902140258516559,1
"209",1,0.93238939162649,1
"210",1,0.79739467190367,1
"218",0,0.904201214440333,1
"222",0,0.967319843205773,1
"233",0,0.870328634667382,1
"248",0,0.972967030234791,1
"262",1,0.970023767735608,1
"271",0,0.948594083647522,1
"274",0,0.961201227855561,1
"304",0,0.952726398038656,1
"313",1,0.904516538112035,1
"317",1,0.902253627939145,1
"332",0,0.83845424475614,1
"349",0,0.975363445637863,1
"365",1,0.863271139614834,1
"387",0,0.975976015740187,1
"405",0,0.931274972132398,1
"460",0,0.937459215674903,1
"505",0,0.947466231806329,1
"508",1,0.980837473524006,1
"516",1,0.991399608727934,1
"524",1,0.979168129551245,1
"527",1,0.869095874304171,1
"556",0,0.828960744107566,1
"567",1,0.839115172584681,1
"596",1,0.878664266462226,1
"605",0,0.726304476822161,1
"616",1,0.880184353753437,1
"634",0,0.874743373968116,1
"667",1,0.959882094202385,1
"668",0,0.931228378644491,1
"677",0,0.946882050711248,1
"693",1,0.965924467049358,1
"707",0,0.948797779828799,1
"720",0,0.84956623100552,1
"725",0,0.885383339803133,1
"736",1,0.932393918900451,1
"745",1,0.922927807279261,1
"763",0,0.990500160677425,1
"778",0,0.945758171514004,1
"780",0,0.93408608668743,1
"781",1,0.96493181592873,1
"794",0,0.896792809601186,1
"795",1,0.758959686457685,1
"802",1,0.912550848706665,1
"863",1,0.927330371200426,1
"874",0,0.822639759234167,1
"944",1,0.921475783670476,1
"965",1,0.943420775282167,1
