"","Truth","Predicted","PredictedClass"
"86",0,0.696211240754512,1
"90",1,0.68204924639037,1
"93",1,0.691965059780865,1
"101",0,0.684058384607722,1
"143",1,0.662899008332523,1
"155",1,0.663530038581759,1
"165",0,0.68502498378864,1
"205",1,0.699461112475847,1
"206",0,0.686847197794556,1
"209",1,0.696939775456368,1
"210",1,0.710498856017192,1
"218",0,0.690598644867541,1
"222",0,0.674498789820767,1
"233",0,0.680207544638329,1
"248",0,0.679739776185017,1
"262",1,0.681125646519992,1
"271",0,0.678677717830796,1
"274",0,0.672054655795283,1
"304",0,0.677554884989271,1
"313",1,0.691311657674103,1
"317",1,0.695934333545084,1
"332",0,0.694908223788534,1
"349",0,0.721389868600989,1
"365",1,0.710740411653982,1
"387",0,0.681011176585754,1
"405",0,0.66009355416201,1
"460",0,0.681298966129831,1
"505",0,0.686200593085319,1
"508",1,0.734992922714596,1
"516",1,0.688230275612817,1
"524",1,0.716977863877123,1
"527",1,0.700152548393005,1
"556",0,0.707678797052491,1
"567",1,0.690947147663636,1
"596",1,0.740073225527728,1
"605",0,0.700465073789591,1
"616",1,0.773430502593732,1
"634",0,0.6901852009317,1
"667",1,0.707807594356816,1
"668",0,0.669685958785017,1
"677",0,0.689895135845519,1
"693",1,0.690125338225069,1
"707",0,0.699769055796406,1
"720",0,0.692568518022861,1
"725",0,0.692552018744188,1
"736",1,0.707735674132254,1
"745",1,0.692426509862694,1
"763",0,0.691049117715611,1
"778",0,0.690181240841024,1
"780",0,0.673586358156722,1
"781",1,0.677132259590219,1
"794",0,0.711617061001366,1
"795",1,0.752509858728257,1
"802",1,0.674817712009991,1
"863",1,0.700979251917697,1
"874",0,0.677659764890697,1
"944",1,0.686818500071394,1
"965",1,0.716313270761138,1
