"","pred_study_3"
"86",0.300474957679149
"90",0.995173274319769
"93",0.999266118851755
"101",0.984107746669751
"143",0.814454437474764
"155",0.718957912978014
"165",0.633513834541156
"205",0.999911215316135
"206",0.9999940791302
"209",0.999002981211035
"210",0.999531987645327
"218",0.998765954700985
"222",0.994311022828223
"233",0.989845180246901
"248",0.998446520031966
"262",0.908662017840298
"271",0.905514001600826
"274",0.69527776953919
"304",0.985946588061024
"313",0.911630716814595
"317",0.912889092915079
"332",0.997363947546693
"349",0.831996481944219
"365",0.707866122157826
"387",0.999219890729579
"405",0.65126244776947
"460",0.593591518279867
"505",0.986554822828287
"508",0.994502237674135
"516",0.987202150434454
"524",0.996229711579729
"527",0.982483069761572
"556",0.998096246754124
"567",0.996278885143922
"596",0.99114147555886
"605",0.999456864552795
"616",0.822435906517275
"634",0.116045383914804
"667",0.993850710325578
"668",0.976400502114531
"677",0.999449694097563
"693",0.99967592381784
"707",0.919435884202843
"720",0.940175021209143
"725",0.999314731770596
"736",0.988504335352588
"745",0.999342526876537
"763",0.0128242676165101
"778",0.999188316881523
"780",0.987186671556058
"781",0.672742529757116
"794",0.993914626032793
"795",0.995638933575266
"802",0.997457460644449
"863",0.99928554323463
"874",0.746628673795157
"944",0.984738733826513
"965",0.999146212954039
