"","lambda.min"
"86",0.906776297198162
"90",0.950207298037003
"93",0.981907350667284
"101",0.969954923746266
"143",0.952232599311661
"155",0.954883763030099
"165",0.902330518101603
"205",0.99865283157863
"206",0.999659091550303
"209",0.998390042473383
"210",0.995668289653675
"218",0.99618352041242
"222",0.832383468756864
"233",0.975755818201496
"248",0.99383178410467
"262",0.994087765389813
"271",0.978747374587718
"274",0.955867959164184
"304",0.985655792795586
"313",0.978563156293929
"317",0.980532644243742
"332",0.99842362459618
"349",0.998377303879461
"365",0.975536718806902
"387",0.975759672810376
"405",0.978480584687644
"460",0.933800484039431
"505",0.956900058612749
"508",0.9614182329625
"516",0.972584389698268
"524",0.999604106200846
"527",0.990680264289019
"556",0.997222065033577
"567",0.985024599425978
"596",0.999013752823572
"605",0.991157387741496
"616",0.997863741054743
"634",0.979483348776787
"667",0.930443967655076
"668",0.971232733769059
"677",0.999109188815076
"693",0.999389474953696
"707",0.988636688656702
"720",0.962687671852016
"725",0.990341360692648
"736",0.882329607730446
"745",0.998442377294236
"763",0.980774226623626
"778",0.982893668701476
"780",0.970694655192849
"781",0.990817426247482
"794",0.997540701050819
"795",0.992686014699053
"802",0.993234469510223
"863",0.983620221713385
"874",0.859739010853891
"944",0.993544029541433
"965",0.970105327922193
