"Sample1","Sample2","Distance","Study1","Study2"
455521,455521,0,"SDY113","SDY113"
455522,455521,0.145302859438299,"SDY113","SDY113"
455524,455521,0.121237721284622,"SDY113","SDY113"
455527,455521,0.146017661949347,"SDY113","SDY113"
455540,455521,0.159405797387781,"SDY113","SDY113"
455543,455521,0.131119331570693,"SDY113","SDY113"
455545,455521,0.148998901756094,"SDY113","SDY113"
455550,455521,0.167497520904871,"SDY113","SDY113"
455552,455521,0.182110212586357,"SDY113","SDY113"
455558,455521,0.249860088615884,"SDY113","SDY113"
455578,455521,0.219119042185642,"SDY113","SDY113"
455871,455521,0.283260744895371,"SDY311","SDY113"
455872,455521,0.292087718995104,"SDY311","SDY113"
455873,455521,0.304117537258211,"SDY311","SDY113"
455874,455521,0.317249124480134,"SDY311","SDY113"
455875,455521,0.324756538426832,"SDY311","SDY113"
455876,455521,0.342138964692229,"SDY311","SDY113"
455877,455521,0.306086760254234,"SDY311","SDY113"
455878,455521,0.324973948057661,"SDY311","SDY113"
455879,455521,0.323294795549975,"SDY311","SDY113"
455880,455521,0.325816079567374,"SDY311","SDY113"
455881,455521,0.33613813485467,"SDY311","SDY113"
455882,455521,0.319329904270315,"SDY311","SDY113"
455886,455521,0.255228093923226,"SDY311","SDY113"
455887,455521,0.277076519237976,"SDY311","SDY113"
455888,455521,0.271420704157063,"SDY311","SDY113"
455889,455521,0.300363948540983,"SDY311","SDY113"
455890,455521,0.280975573354862,"SDY311","SDY113"
455891,455521,0.287261547408532,"SDY311","SDY113"
455892,455521,0.306578758044822,"SDY311","SDY113"
455893,455521,0.301853800059845,"SDY311","SDY113"
455894,455521,0.279273027875297,"SDY311","SDY113"
455895,455521,0.265642694374429,"SDY311","SDY113"
455896,455521,0.289448336550466,"SDY311","SDY113"
455897,455521,0.327076525590163,"SDY311","SDY113"
455898,455521,0.313340467514249,"SDY311","SDY113"
455899,455521,0.297932081816561,"SDY311","SDY113"
455900,455521,0.330334329465433,"SDY311","SDY113"
455902,455521,0.270847452016056,"SDY311","SDY113"
455903,455521,0.282160383076971,"SDY311","SDY113"
455904,455521,0.304253117588175,"SDY311","SDY113"
455905,455521,0.323311840933239,"SDY311","SDY113"
455906,455521,0.303858906781077,"SDY311","SDY113"
455907,455521,0.30655121733309,"SDY311","SDY113"
455908,455521,0.280531173228577,"SDY311","SDY113"
455909,455521,0.323841681923323,"SDY311","SDY113"
455910,455521,0.359295534538471,"SDY311","SDY113"
455911,455521,0.315969705706844,"SDY311","SDY113"
455912,455521,0.310390711044327,"SDY311","SDY113"
455913,455521,0.334369649244444,"SDY311","SDY113"
455914,455521,0.313240035277524,"SDY311","SDY113"
455915,455521,0.289685611725126,"SDY311","SDY113"
455916,455521,0.31016464364539,"SDY311","SDY113"
455919,455521,0.243340395779937,"SDY311","SDY113"
455920,455521,0.305318431956415,"SDY311","SDY113"
455921,455521,0.275179502284604,"SDY311","SDY113"
455922,455521,0.245129236231942,"SDY311","SDY113"
455923,455521,0.319518757565475,"SDY311","SDY113"
455924,455521,0.266598811804415,"SDY311","SDY113"
455925,455521,0.284963939167308,"SDY311","SDY113"
455926,455521,0.266531941054844,"SDY311","SDY113"
455927,455521,0.279294491493306,"SDY311","SDY113"
455928,455521,0.304573192794556,"SDY311","SDY113"
455929,455521,0.302585700388338,"SDY311","SDY113"
455930,455521,0.353814616535638,"SDY311","SDY113"
455931,455521,0.297058924449265,"SDY311","SDY113"
455932,455521,0.295857314077801,"SDY311","SDY113"
455933,455521,0.31410778440908,"SDY311","SDY113"
455934,455521,0.298213762122085,"SDY311","SDY113"
455936,455521,0.262415176943356,"SDY311","SDY113"
455937,455521,0.266470172441536,"SDY311","SDY113"
455938,455521,0.245816360757504,"SDY311","SDY113"
455939,455521,0.278170559296798,"SDY311","SDY113"
455940,455521,0.284597330498555,"SDY311","SDY113"
455941,455521,0.308039622309515,"SDY311","SDY113"
455942,455521,0.237848187045697,"SDY311","SDY113"
455943,455521,0.299605760829467,"SDY311","SDY113"
455944,455521,0.323788330457429,"SDY311","SDY113"
455945,455521,0.296283931428752,"SDY311","SDY113"
455946,455521,0.25641925906449,"SDY311","SDY113"
455947,455521,0.25682074298063,"SDY311","SDY113"
455948,455521,0.262558428546493,"SDY311","SDY113"
499681,455521,0.246526390210958,"SDY315","SDY113"
499682,455521,0.157415964089765,"SDY315","SDY113"
499683,455521,0.156289947373257,"SDY315","SDY113"
499684,455521,0.139630338046849,"SDY315","SDY113"
499685,455521,0.177278100873023,"SDY315","SDY113"
499686,455521,0.160596574894676,"SDY315","SDY113"
499687,455521,0.158879553646761,"SDY315","SDY113"
499688,455521,0.161965077706052,"SDY315","SDY113"
499689,455521,0.151607902879176,"SDY315","SDY113"
499690,455521,0.180240136915346,"SDY315","SDY113"
499691,455521,0.244615006700228,"SDY315","SDY113"
499692,455521,0.193898721373635,"SDY315","SDY113"
499693,455521,0.239156160323635,"SDY315","SDY113"
499694,455521,0.186669120861368,"SDY315","SDY113"
499695,455521,0.18481668486162,"SDY315","SDY113"
499696,455521,0.191732394377594,"SDY315","SDY113"
499697,455521,0.161362934785622,"SDY315","SDY113"
499698,455521,0.20598635279686,"SDY315","SDY113"
499699,455521,0.195289981694814,"SDY315","SDY113"
499700,455521,0.192441516893522,"SDY315","SDY113"
499701,455521,0.167399195089493,"SDY315","SDY113"
499702,455521,0.176326809459879,"SDY315","SDY113"
499703,455521,0.182816021298456,"SDY315","SDY113"
499704,455521,0.215994616727704,"SDY315","SDY113"
499705,455521,0.148313664782768,"SDY315","SDY113"
499706,455521,0.225635722686328,"SDY315","SDY113"
499707,455521,0.185720145042043,"SDY315","SDY113"
499708,455521,0.166115912132019,"SDY315","SDY113"
499709,455521,0.223943960937618,"SDY315","SDY113"
499710,455521,0.173154302309254,"SDY315","SDY113"
499711,455521,0.203664640380323,"SDY315","SDY113"
499712,455521,0.20979064924505,"SDY315","SDY113"
499713,455521,0.200102828109939,"SDY315","SDY113"
499714,455521,0.22426229169167,"SDY315","SDY113"
499715,455521,0.236708516946258,"SDY315","SDY113"
499716,455521,0.140993280137444,"SDY315","SDY113"
499717,455521,0.167699868152439,"SDY315","SDY113"
499718,455521,0.16543324268157,"SDY315","SDY113"
499719,455521,0.207151935792544,"SDY315","SDY113"
499720,455521,0.230436692872931,"SDY315","SDY113"
499721,455521,0.168344742626785,"SDY315","SDY113"
499722,455521,0.18257327541468,"SDY315","SDY113"
499723,455521,0.2202653642998,"SDY315","SDY113"
499724,455521,0.186861326781584,"SDY315","SDY113"
499725,455521,0.184863301071789,"SDY315","SDY113"
499726,455521,0.176998444907386,"SDY315","SDY113"
499727,455521,0.266221160061305,"SDY315","SDY113"
499728,455521,0.215511676581158,"SDY315","SDY113"
499729,455521,0.253778498408962,"SDY315","SDY113"
499730,455521,0.23645041877371,"SDY315","SDY113"
499731,455521,0.233923070557339,"SDY315","SDY113"
499732,455521,0.256427836621143,"SDY315","SDY113"
499733,455521,0.2436304315352,"SDY315","SDY113"
