"cells_per_sample","cell_type","n_cells","precision","recall","f1","n_samples_with_type","group","cells_label"
1000,"14+ monos",13355,0.838097065029733,0.981430175964058,0.904118093398634,111,"Major populations","1K"
1000,"16+ monos",788,0.480067854113656,0.718274111675127,0.575495678698526,105,"Rare populations","1K"
1000,"pDCs",318,0.0200140673956135,0.984276729559748,0.0392304317854233,102,"Rare populations","1K"
1000,"CD141+ DCs",52,0.00306924995204297,0.923076923076923,0.0061181569052323,38,"Rare populations","1K"
1000,"CD1c+ DCs",644,0.0399641920838928,0.970496894409938,0.0767671804949948,107,"Rare populations","1K"
1000,"B cells",10961,0.964853110854708,0.991789070340297,0.978135684721972,111,"Major populations","1K"
1000,"CD4+ Tconv",39058,0.884681321193188,0.594551692354959,0.711164193731147,111,"Major populations","1K"
1000,"CD4+ Treg",1951,0.0656024991428245,0.882624295233214,0.122127659574468,111,"Rare populations","1K"
1000,"CD8hi",19018,0.677997385218796,0.463560837101693,0.550638643390275,111,"Major populations","1K"
1000,"CD8lo",5849,0.258094285934015,0.57377329458027,0.356036494801613,111,"Major populations","1K"
1000,"NK",13533,0.950938070728873,0.846449419936452,0.895656593299191,111,"Major populations","1K"
2000,"14+ monos",27202,0.808903658463565,0.993272553488714,0.891657316348756,111,"Major populations","2K"
2000,"16+ monos",1654,0.0433506975630202,0.875453446191052,0.0826106800547695,111,"Rare populations","2K"
2000,"pDCs",665,0.0198491108316867,0.996992481203008,0.0389232982064755,106,"Rare populations","2K"
2000,"CD141+ DCs",80,0.00239506616370277,1,0.00477868705573144,56,"Rare populations","2K"
2000,"CD1c+ DCs",1205,0.0354769175498473,0.983402489626556,0.0684832548328373,111,"Rare populations","2K"
2000,"B cells",21964,0.963205088563982,0.992806410489893,0.977781763558505,111,"Major populations","2K"
2000,"CD4+ Tconv",78183,0.887550346529264,0.625711471803333,0.733977989662493,111,"Major populations","2K"
2000,"CD4+ Treg",3882,0.0630284117711093,0.894899536321484,0.117762711864407,111,"Rare populations","2K"
