"cells_per_sample","total_cells","overall_ari","auc","peak_mem_gb","time_seconds"
1000,111000,0.609887261453269,0.755952380952381,25.28212890625,131.735005140305
2000,222000,0.61625455134245,0.719047619047619,25.3513671875,90.4355239868164
3000,333000,0.858630354975351,0.716666666666667,25.42216796875,107.579124927521
4000,444000,0.797752531683808,0.634523809523809,25.49453125,116.04326581955
5000,555000,0.873906030428025,0.777380952380953,25.57255859375,128.654640197754
6000,666000,0.836641797071326,0.639285714285714,25.6482421875,132.972408056259
7000,776443,0.626454873705538,0.694047619047619,25.7251953125,154.668296813965
8000,886443,0.865218120459983,0.732142857142857,25.80361328125,165.710160017014
9000,996443,0.854517834911823,0.767857142857143,25.88359375,189.368987798691
10000,1106443,0.852654759838151,0.829761904761905,25.965234375,204.610778093338
20000,2206443,0.835477622281581,0.769047619047619,26.6587890625,289.450115203857
50000,5461659,0.841851007982655,0.788095238095238,28.673828125,595.255339860916
