"cells_per_sample","ref_sample_1","ref_sample_2","ref1_cells","ref2_cells","ref1_batch","ref2_batch"
1000,"264","591",1000,1000,"4c","4d"
2000,"264","347",2000,2000,"4c","4d"
3000,"586","264",3000,3000,"4b","4c"
4000,"586","264",4000,4000,"4b","4c"
5000,"347","264",5000,5000,"4d","4c"
6000,"586","804",6000,6000,"4b","4c"
7000,"264","804",7000,7000,"4c","4c"
8000,"586","264",8000,8000,"4b","4c"
9000,"586","264",9000,9000,"4b","4c"
10000,"586","804",10000,10000,"4b","4c"
20000,"586","264",20000,20000,"4b","4c"
50000,"586","264",50000,50000,"4b","4c"
