"n_ref","ari","cls_acc","auc","recon_mse","time_seconds","ref_samples","ref_batches","n_unique_batches"
1,0.883346560050496,0.95322547912888,0.576190476190476,0.00303752198316012,99.51500415802,"586","4b",1
2,0.852654759838151,0.953057419363022,0.829761904761905,0.00267500999344658,119.846325159073,"586, 804","4b, 4c",2
3,0.854479462393418,0.912025468981875,0.732142857142857,0.00270434522035694,144.234414100647,"586, 804, 264","4c, 4b, 4c",2
4,0.852498809145358,0.94755584023541,0.747619047619048,0.00233003972165139,162.895115852356,"586, 804, 264, 347","4c, 4d, 4b, 4c",3
5,0.82110911243877,0.925229258888142,0.741666666666667,0.00242620516128869,189.10343003273,"586, 804, 264, 347, 591","4c, 4d, 4b, 4d, 4c",3
6,0.846204436003799,0.916896031252775,0.739285714285715,0.00257233510661683,196.840613126755,"586, 804, 264, 347, 591, 276","4c, 4f, 4d, 4b, 4d, 4c",4
7,0.848963204844323,0.916572595476973,0.651190476190476,0.002377568824228,223.083260059357,"586, 804, 264, 347, 591, 276, 791","4c, 4f, 4d, 4b, 4d, 4f, 4c",4
8,0.788020656072308,0.932627059524866,0.698809523809524,0.00235200195654076,243.361073970795,"586, 804, 264, 347, 591, 276, 791, 737","4c, 4f, 4d, 4b, 4d, 4b, 4f, 4c",4
9,0.786457464724734,0.956329828388782,0.702380952380953,0.0022945622559151,271.693492174149,"586, 804, 264, 347, 591, 276, 791, 737, 307","4c, 4f, 4c, 4d, 4b, 4d, 4b, 4f, 4c",4
10,0.848737994321934,0.93937164673203,0.719047619047619,0.00214756218912285,278.954330921173,"586, 804, 264, 347, 591, 276, 791, 737, 307, 501","4c, 4f, 4c, 4d, 4d, 4b, 4d, 4b, 4f, 4c",4
